Geneid	HCO118C	HCO118OE	HCO80C	HCO80OE	HCO83C	HCO83OE	HCO88C	HCO88OE	HCO89C	HCO89OE
AL669831.2	0	0	0	0	0	0	0	0	0	0
AL669831.5	1	4	2	2	9	12	9	10	10	4
AL669831.7	0	0	0	0	0	0	0	0	0	0
AL669831.4	2	4	1	3	7	3	5	5	5	12
FAM87B	0	2	4	2	1	0	2	1	5	2
LINC01128	102	100	102	99	57	72	57	59	66	53
LINC00115	6	17	5	4	4	3	20	7	3	4
FAM41C	0	0	0	0	0	0	0	0	0	0
TUBB8P11	0	0	0	0	0	1	0	0	0	0
AL669831.6	0	0	0	0	0	0	0	0	0	0
AL645608.6	0	0	0	1	0	0	0	0	0	0
AL645608.2	0	0	0	0	0	0	1	0	2	0
AL645608.4	0	2	0	0	0	0	0	0	0	0
LINC02593	0	0	0	0	0	0	0	0	1	0
SAMD11	3	0	0	4	0	0	1	1	0	0
NOC2L	992	1075	683	704	423	534	468	365	387	307
KLHL17	43	44	18	10	92	116	137	116	98	82
PLEKHN1	88	93	75	75	186	107	95	141	98	76
PERM1	10	13	9	9	25	21	25	28	16	23
AL645608.7	6	1	1	1	1	4	2	1	0	0
HES4	160	166	58	68	572	272	353	291	168	139
ISG15	75	161	102	135	295	268	102	104	94	107
AL645608.3	0	0	0	0	1	3	0	0	0	0
AL645608.1	0	0	0	0	3	0	0	0	0	1
AGRN	11194	10075	9196	8677	7480	6320	7276	6811	7693	5663
AL645608.5	0	0	0	0	0	0	0	0	0	0
AL390719.1	7	9	4	11	31	49	37	40	97	134
AL645608.8	0	0	0	0	0	4	3	1	1	3
RNF223	81	92	42	69	55	61	167	138	165	181
C1orf159	192	215	177	188	274	237	226	293	283	231
AL390719.3	0	0	0	1	5	3	1	1	0	3
LINC01342	4	3	0	4	6	16	3	5	8	9
MIR200B	2	1	3	1	21	19	9	32	31	40
MIR200A	0	1	4	2	25	25	22	35	27	39
MIR429	1	0	3	1	35	38	41	39	29	74
AL390719.2	8	5	9	8	206	241	166	240	206	268
TTLL10-AS1	0	1	0	0	6	2	1	0	2	2
TTLL10	2	3	1	3	19	1	1	7	9	14
TNFRSF18	3	0	1	0	0	0	0	1	0	0
TNFRSF4	0	0	0	0	3	0	0	0	0	0
SDF4	6389	6948	5761	6036	2948	3950	3351	3395	4102	4723
B3GALT6	304	353	113	210	135	169	189	201	269	194
C1QTNF12	109	199	74	83	164	364	88	164	113	267
AL162741.1	0	0	2	1	2	3	4	3	1	0
UBE2J2	797	1021	741	904	588	691	535	523	551	524
LINC01786	0	3	0	1	3	4	6	4	1	6
SCNN1D	12	75	15	49	40	153	46	65	52	83
ACAP3	357	410	292	296	393	492	511	563	624	572
MIR6726	0	0	0	0	0	0	0	0	0	0
PUSL1	173	222	135	166	108	136	89	117	101	111
INTS11	1275	1358	1128	1350	874	865	1000	872	939	916
MIR6727	0	0	0	0	0	0	0	0	0	0
AL139287.1	4	2	0	2	21	15	14	11	5	2
CPTP	800	930	742	920	469	660	515	601	530	587
TAS1R3	16	14	11	2	6	3	9	11	6	10
DVL1	3346	3758	3417	3557	4709	4816	4008	4877	4224	4388
MIR6808	0	0	0	0	0	0	0	0	0	0
MXRA8	81	105	41	92	86	160	57	92	217	269
AURKAIP1	1512	1616	1506	1645	1586	1560	1033	1198	1183	1202
NDUFB4P8	0	0	0	0	0	0	2	0	1	1
CCNL2	148	213	206	194	1993	1592	1403	1299	1071	965
AL391244.1	106	103	71	69	107	109	66	71	83	58
MRPL20	415	458	480	540	993	1001	495	526	443	557
RN7SL657P	0	0	0	0	0	0	0	0	0	0
AL391244.3	6	10	8	8	14	25	12	15	8	12
ANKRD65	0	0	0	0	1	0	1	1	1	0
AL391244.2	0	0	0	0	0	0	0	0	0	1
TMEM88B	0	1	0	0	0	0	0	0	0	0
LINC01770	5	5	7	5	4	6	7	23	2	2
VWA1	1052	903	605	603	687	724	495	520	577	359
ATAD3C	10	5	5	1	0	2	6	1	9	5
ATAD3B	82	94	38	64	248	261	120	144	157	123
AL645728.2	0	0	0	0	0	1	3	5	2	2
ATAD3A	444	445	362	327	169	175	158	142	200	138
TMEM240	2	1	7	1	15	4	3	5	6	9
SSU72	2204	1880	1867	1744	903	798	1291	1155	1368	1208
AL645728.1	5	4	9	2	9	8	3	2	3	5
AL691432.3	0	0	0	0	0	0	0	0	0	0
FNDC10	32	21	11	24	6	6	21	18	40	18
AL691432.2	59	29	28	41	16	29	60	63	75	60
MIB2	779	749	680	703	977	696	1442	1323	1452	1060
MMP23B	0	0	0	0	0	2	0	0	0	2
CDK11B	1293	1176	1150	1041	832	693	586	513	503	446
FO704657.1	0	0	0	4	1	2	0	0	0	0
SLC35E2B	1066	1089	583	562	552	697	1154	950	749	757
AL691432.1	0	0	2	0	21	18	6	11	5	17
MMP23A	3	3	0	4	1	2	4	9	2	2
CDK11A	18	12	50	39	58	53	28	22	18	18
AL031282.2	8	16	19	8	23	23	20	22	23	13
AL031282.1	0	0	0	1	4	1	3	1	4	1
SLC35E2A	27	54	83	85	89	60	179	123	236	226
NADK	1427	2295	2161	2705	1551	1946	1188	1170	1366	1523
GNB1	12884	13333	13050	12985	6014	6544	9153	8412	8682	9596
AL109917.1	2	4	4	5	3	6	1	4	2	8
CALML6	0	0	0	0	0	0	0	0	0	0
TMEM52	18	56	46	48	4	22	20	22	33	31
CFAP74	3	7	4	8	10	45	5	20	13	91
AL391845.2	0	0	0	0	0	0	0	0	0	0
GABRD	0	0	0	0	0	0	0	2	0	2
AL391845.1	1	1	0	0	0	5	0	0	0	1
PRKCZ	865	1296	1007	1243	547	852	749	746	682	849
AL590822.2	0	0	0	0	8	11	5	0	2	4
PRKCZ-AS1	8	11	7	2	68	64	34	27	19	23
FAAP20	407	428	437	420	371	272	249	289	172	144
AL590822.1	0	0	0	0	0	0	0	0	0	0
SKI	818	931	699	815	344	346	568	529	416	345
MORN1	53	70	34	35	20	24	29	38	45	23
AL589739.1	0	1	0	0	0	0	0	0	0	0
AL513477.1	5	4	2	2	0	2	10	3	22	4
AL513477.2	1	0	1	1	0	0	0	3	0	2
RER1	2024	2131	1911	1854	1319	1350	1260	1099	1453	1531
PEX10	229	237	165	200	157	161	245	224	174	176
PLCH2	161	94	116	63	81	23	186	222	118	70
AL139246.1	0	0	0	0	0	0	1	0	0	0
AL139246.4	0	0	0	0	1	0	2	0	0	0
PANK4	515	497	554	506	304	323	238	247	188	260
HES5	2	2	3	0	0	0	0	0	0	0
AL139246.5	40	62	20	37	60	65	63	60	35	39
TNFRSF14-AS1	392	588	545	700	530	634	425	402	887	769
TNFRSF14	1741	2029	1517	1549	2624	2239	2542	2536	2333	2504
AL139246.2	1	2	1	3	7	4	2	7	6	6
AL139246.3	14	30	79	41	87	73	68	82	74	65
PRXL2B	2150	2883	2298	2145	1920	2034	1275	1130	1591	1449
MMEL1	75	63	129	100	25	24	74	75	70	48
AL831784.1	0	2	0	0	0	0	0	0	0	0
TTC34	1	0	2	0	2	1	2	0	2	0
AC242022.2	0	0	0	0	0	0	0	0	0	0
AC242022.1	0	0	0	0	0	0	0	0	0	0
AL592464.2	0	0	0	0	0	0	0	0	0	0
AL592464.1	0	0	0	0	0	0	0	0	0	0
AL589702.1	0	0	0	0	0	0	0	0	0	0
ACTRT2	0	0	0	0	0	0	0	0	0	0
LINC00982	1	0	0	0	0	0	0	0	1	0
PRDM16	121	96	79	121	45	37	200	200	133	146
MIR4251	0	0	0	0	0	0	0	0	0	0
AL008733.1	0	0	0	0	0	0	0	0	0	0
AL512383.1	0	0	0	0	0	0	0	0	0	0
AL590438.1	0	0	1	0	0	1	1	0	1	0
ARHGEF16	2089	2355	2049	2272	2074	2060	2289	2227	2229	2163
AL512413.1	0	1	0	0	0	2	1	4	8	4
MEGF6	427	251	256	304	281	188	619	503	461	315
MIR551A	0	0	0	0	0	0	0	0	0	0
AL513320.1	0	1	0	1	2	5	0	2	0	0
TPRG1L	1868	2440	2216	2111	1742	2338	1681	1688	1870	2130
WRAP73	283	233	189	180	234	203	218	185	172	134
TP73	3	24	1	11	0	4	0	1	0	3
AL136528.1	0	0	0	0	0	0	0	0	0	0
AL136528.2	0	0	0	0	0	0	0	0	0	0
TP73-AS1	16	29	85	61	10	12	118	61	56	44
RF02197	0	0	0	0	0	0	0	0	0	0
CCDC27	0	0	0	0	0	0	0	0	0	0
SMIM1	17	18	11	9	29	23	42	37	26	16
LRRC47	696	750	677	693	315	332	537	458	533	465
RN7SL574P	2	0	0	0	0	1	1	6	0	5
AL365330.1	0	1	0	0	4	8	1	12	0	5
CEP104	365	371	348	360	238	306	353	365	335	313
DFFB	53	83	38	65	34	58	29	36	46	33
C1orf174	325	351	485	431	200	214	211	170	185	239
LINC01134	25	17	12	9	18	33	38	36	28	54
LINC01346	0	0	0	0	0	0	0	1	0	0
LINC01345	0	0	0	0	0	0	0	0	0	0
AL805961.1	0	0	0	0	0	0	0	0	0	0
AL805961.2	0	0	0	0	0	0	0	0	0	0
EEF1DP6	0	0	0	0	0	0	0	0	0	0
LINC01777	0	0	0	0	0	0	0	0	0	0
AL355602.1	0	0	0	0	0	0	0	0	0	0
Z98747.1	0	0	0	0	0	0	0	0	0	0
LINC01646	0	0	0	0	0	0	0	0	0	0
AJAP1	0	0	0	0	0	0	0	0	0	0
BX005132.2	0	0	0	0	0	0	0	0	0	0
BX005132.1	0	0	0	0	0	0	0	0	0	0
AL691497.1	0	0	0	0	0	0	0	0	1	0
AL139823.1	0	0	0	0	0	0	0	0	0	0
Z98259.3	0	0	0	0	0	0	0	0	0	0
Z98259.2	0	0	0	0	0	0	0	0	0	0
Z98259.1	0	0	0	0	0	0	0	0	0	0
Z97988.1	0	0	0	0	0	0	0	0	0	0
AL365255.1	0	0	0	0	0	0	0	0	0	0
MIR4417	0	0	0	0	0	0	0	0	0	0
MIR4689	0	0	0	0	0	0	1	0	0	0
NPHP4	72	108	86	112	60	104	145	127	61	58
KCNAB2	235	267	1080	727	208	187	59	44	76	26
CHD5	4	10	19	22	1	3	4	5	5	10
AL031847.2	0	0	0	0	0	0	0	0	0	0
RPL22	2142	1971	2063	2183	859	958	2469	2325	1483	1778
AL031847.1	3	4	3	6	2	5	10	6	3	15
RNF207	31	54	33	36	463	330	268	306	221	167
ICMT	2285	2710	1852	2073	1184	1416	1139	1242	2281	2477
LINC00337	2	0	0	1	4	9	2	4	11	14
HES3	0	0	0	0	0	0	0	0	0	2
GPR153	2033	2103	1550	1449	620	475	868	752	646	427
ACOT7	519	1121	768	1184	332	787	267	281	160	350
AL031848.2	0	0	0	0	0	0	0	0	0	0
HES2	203	239	97	74	63	58	48	40	42	21
ESPN	549	926	552	821	178	384	149	169	440	521
MIR4252	0	0	0	0	0	0	0	0	0	0
AL031848.1	0	0	0	0	0	0	0	0	0	0
TNFRSF25	67	43	12	16	93	37	103	95	47	26
PLEKHG5	301	209	135	102	341	175	201	149	249	142
NOL9	89	130	82	78	101	114	115	105	96	102
RNU6-731P	0	0	0	0	0	3	0	0	0	0
AL591866.1	0	0	0	0	0	0	0	0	0	0
TAS1R1	1	0	0	0	0	0	0	0	0	0
ZBTB48	162	172	168	153	260	213	215	248	151	169
KLHL21	526	567	417	398	483	296	532	533	427	335
PHF13	671	598	672	586	337	323	373	345	359	300
THAP3	267	265	276	294	199	137	230	140	134	143
DNAJC11	376	515	455	406	224	313	190	163	257	234
LINC01672	0	0	0	0	0	0	0	0	0	0
AL591163.1	0	0	0	0	0	0	0	0	0	1
CAMTA1-DT	3	0	0	1	6	7	12	5	1	7
CAMTA1	455	464	454	423	680	507	320	352	362	409
AL590128.1	0	0	0	0	2	1	1	4	0	2
AL512330.1	0	0	0	0	0	0	0	0	0	0
RNU1-8P	0	0	0	0	0	0	0	0	0	0
CAMTA1-IT1	0	0	0	0	0	0	0	0	0	0
Z97987.1	0	0	0	0	0	0	0	0	0	0
AL365194.1	0	0	0	0	0	0	0	0	0	0
AL359881.3	0	0	0	0	0	0	0	0	0	0
AL359881.2	0	0	0	0	0	0	0	0	0	0
AL359881.1	0	0	0	0	0	0	0	0	0	0
VAMP3	2643	2700	2598	2457	5035	3984	4212	4514	3729	4838
Z98884.2	0	0	0	0	5	3	5	0	0	8
PER3	118	161	168	231	136	191	406	296	201	261
Z98884.1	4	0	1	0	6	0	2	3	1	4
UTS2	4	23	10	7	18	21	10	18	2	2
TNFRSF9	4	25	20	27	99	236	12	24	14	21
AL009183.1	0	0	0	0	0	0	0	0	0	0
PARK7	1820	1869	2199	2187	2614	2980	1260	1320	1675	1945
RF00019	61	37	54	46	223	140	177	173	157	210
AL034417.4	0	2	3	1	2	3	6	4	2	2
AL034417.3	0	0	0	0	0	1	0	0	0	0
ERRFI1	3044	2647	2123	1817	2767	1989	2369	1897	1377	1270
AL034417.2	0	7	0	4	0	16	8	11	1	8
AL034417.1	0	0	0	0	0	0	0	0	1	0
AL358876.1	0	0	0	0	0	0	0	0	0	0
LINC01714	1	1	0	0	0	2	0	2	0	6
RNU1-7P	0	0	0	0	0	0	0	0	0	0
AL358876.2	0	0	0	0	0	0	0	0	0	0
RNU6-991P	0	0	0	0	0	0	0	0	0	0
SLC45A1	0	5	0	0	0	0	1	0	0	1
RERE	2703	2413	2339	2052	1366	1166	2749	2201	1642	1634
AL096855.1	0	1	9	1	2	1	5	3	1	0
RF00599	0	0	0	0	0	0	0	1	0	2
AL096855.2	0	0	0	0	0	0	0	2	0	1
RPL7P11	0	0	0	0	0	0	0	0	0	0
RPL7P7	0	0	0	0	0	1	0	0	0	0
AL357552.1	0	0	1	0	0	0	0	0	0	2
AL357552.2	0	0	0	0	7	0	0	1	0	0
RPL23AP19	0	0	0	0	0	0	0	0	0	0
ENO1	30113	24395	22909	23619	19700	18755	33367	38045	29095	41611
MIR6728	0	0	0	0	2	0	0	0	0	0
ENO1-AS1	0	1	0	0	0	1	0	1	5	1
RNU6-304P	0	0	0	0	0	0	0	0	0	0
HMGN2P17	0	0	0	0	0	0	0	0	0	0
AL139415.1	0	0	0	0	0	0	0	0	0	0
AL139415.2	0	0	0	0	0	0	0	0	0	0
CA6	0	0	0	0	0	0	0	0	0	0
RN7SL451P	0	0	0	0	0	0	0	0	0	0
SLC2A7	0	0	0	0	0	0	0	0	0	1
SLC2A5	0	243	1	607	3	499	9	431	1	830
RF00424	0	0	0	0	0	0	0	0	0	0
GPR157	439	597	403	500	299	365	403	423	270	378
MIR34AHG	28	18	23	15	148	141	107	126	112	89
MIR34A	0	0	0	0	0	0	0	0	0	0
LNCTAM34A	25	10	13	12	13	11	22	15	18	15
H6PD	1722	2049	818	886	716	783	1279	1134	1131	989
SPSB1	951	942	763	885	274	395	642	634	720	639
BX323043.1	0	0	0	0	0	0	0	0	0	0
AL928921.2	2	1	0	1	0	0	0	0	4	0
RNA5SP40	0	0	0	0	0	0	0	0	0	0
AL928921.1	0	0	0	0	0	0	0	0	0	0
SLC25A33	141	168	92	155	94	102	174	166	167	139
AL954705.1	0	0	0	0	0	1	0	0	1	2
TMEM201	60	74	45	61	13	15	16	13	14	16
PIK3CD	82	89	95	99	61	85	127	111	33	41
PIK3CD-AS1	0	0	0	0	0	0	0	0	0	0
AL691449.1	0	0	0	0	0	0	0	1	0	4
PIK3CD-AS2	4	15	3	7	2	0	1	5	4	2
CLSTN1	13871	12072	13959	11170	3915	3005	7382	5576	6973	4921
MZT1P1	0	0	0	0	0	0	0	0	0	1
AL357140.3	0	0	0	0	0	0	1	0	0	0
CTNNBIP1	843	973	1277	1460	402	471	706	716	869	1040
AL357140.1	0	0	0	0	0	0	0	0	0	0
AL357140.5	2	0	0	0	5	0	1	0	0	0
LZIC	688	695	817	741	1262	1119	721	792	791	937
AL357140.2	2	8	5	4	31	14	6	20	9	19
NMNAT1	216	272	292	287	381	378	244	204	272	307
RN7SKP269	2	0	4	2	1	0	3	7	0	2
AL357140.4	0	0	0	0	2	3	1	1	2	0
MIR5697	0	0	0	0	0	0	0	0	1	2
AL603962.1	0	0	0	0	0	0	0	0	0	0
RBP7	0	6	7	16	8	5	9	9	3	16
UBE4B	1285	1162	1441	1311	472	501	1095	796	907	695
AL590639.1	0	0	0	0	0	0	2	0	0	0
PGAM1P11	0	0	0	0	1	8	2	3	0	0
RNU6-828P	0	0	0	0	0	1	1	0	0	0
KIF1B	2144	2728	2834	2899	1290	1786	1495	1369	1332	1623
MIR1273D	0	0	0	0	1	0	0	0	0	0
RNU6-37P	1	0	0	0	0	0	4	0	0	1
RN7SL731P	0	0	0	0	0	0	0	0	0	0
AL139424.3	7	1	0	1	11	8	6	6	4	8
AL139424.2	1	4	0	1	5	2	3	6	5	23
PGD	2358	2400	4950	4358	1127	1066	2793	1918	1929	1867
AL139424.1	0	0	0	0	0	0	0	0	0	0
CENPS-CORT	0	0	0	0	0	0	0	0	0	0
CENPS	17	12	5	18	7	15	5	17	11	23
CORT	0	0	1	0	0	0	0	0	0	0
DFFA	417	470	371	408	219	309	263	258	274	261
AL354956.1	0	0	0	0	0	0	0	0	0	0
PEX14	495	515	574	534	259	307	293	248	225	246
RN7SL614P	0	0	0	0	0	1	2	0	0	0
CASZ1	962	1076	796	848	513	617	537	446	486	461
AL139423.1	8	18	3	8	28	30	5	20	8	4
HSPE1P24	0	0	0	0	0	0	0	0	0	0
C1orf127	0	0	1	0	0	2	0	0	0	0
CFL1P6	0	0	0	0	0	0	0	0	0	0
TARDBP	620	903	617	789	564	668	904	920	606	874
AL109811.4	0	0	0	0	0	0	1	0	0	0
MASP2	2	0	1	0	2	3	4	7	5	4
AL109811.3	0	0	0	1	2	7	7	4	2	6
SRM	329	312	198	210	80	148	54	63	90	48
EXOSC10	812	695	623	567	450	354	780	708	597	594
AL109811.1	0	0	0	0	7	0	0	3	1	3
AL109811.2	0	0	1	2	2	1	0	0	0	1
MTOR	729	825	887	931	577	729	303	247	271	257
MTOR-AS1	0	0	0	0	0	0	0	0	0	0
RNU6-537P	0	0	0	0	0	0	0	0	0	0
ANGPTL7	0	0	0	0	4	0	0	0	0	0
RNU6-291P	0	0	0	0	0	0	0	0	0	0
RPL39P6	0	0	0	0	0	0	0	0	0	0
UBIAD1	58	96	36	55	38	85	117	90	61	62
UBE2V2P3	0	0	0	0	0	0	0	0	0	0
AL031291.1	0	0	0	0	0	0	0	0	0	0
MTCYBP45	0	0	0	0	0	0	0	0	0	0
DISP3	0	0	0	0	0	0	0	0	0	0
AL590989.1	0	0	0	0	0	0	0	0	0	0
LINC01647	0	0	0	0	0	0	0	0	0	0
AL031731.1	2	2	3	0	0	2	0	6	3	5
FBXO2	1976	2267	1140	1703	1488	2252	2566	3262	3248	4918
FBXO44	70	85	61	87	181	220	311	299	195	278
FBXO6	297	391	342	429	296	419	497	467	335	503
MAD2L2	89	104	108	107	38	96	63	67	57	37
DRAXIN	0	1	0	0	0	1	1	0	0	0
AGTRAP	274	309	268	262	116	124	131	119	106	52
C1orf167	0	0	1	0	0	0	0	0	0	0
AL953897.1	0	0	0	0	0	0	0	0	0	0
MTHFR	1634	1648	1453	1311	692	684	900	710	1485	854
CLCN6	275	276	196	210	167	169	350	230	327	261
RF02156	0	0	0	0	0	0	0	0	0	0
RF02157	0	0	0	0	0	0	0	0	0	0
NPPA	0	0	0	0	1	1	0	1	1	0
RF02158	0	0	0	0	0	0	0	0	0	0
NPPB	0	0	0	0	2	0	2	5	0	1
AL021155.1	0	0	0	0	0	0	0	0	0	0
AL021155.2	0	1	0	0	0	0	0	0	0	0
RNU5E-1	0	0	0	0	0	0	0	0	0	0
RNU5E-4P	0	0	0	0	0	0	1	0	0	0
KIAA2013	3695	4335	3212	4164	3692	4848	4239	5341	4580	7744
PLOD1	3129	3225	4309	5087	1127	2851	2531	3266	2547	4121
MFN2	2824	2932	1996	2086	1342	1908	1251	1060	1441	1481
AL096840.1	0	0	0	0	0	0	0	0	0	0
MIIP	219	224	153	159	214	282	252	291	282	235
MIR6729	0	0	0	0	0	0	0	0	0	0
RN7SL649P	0	0	0	0	0	0	0	0	0	0
TNFRSF8	0	0	0	0	0	0	0	0	0	1
RNU6-777P	0	0	0	0	0	0	0	0	0	0
RPL23AP89	0	0	0	0	0	0	0	0	0	0
AL357835.1	0	0	0	0	0	0	0	0	0	0
MIR7846	0	0	0	0	0	0	0	0	0	0
TNFRSF1B	1034	1500	557	962	172	552	513	766	471	928
MIR4632	0	0	0	0	0	0	4	0	0	0
RPL10P17	0	0	0	0	0	0	0	0	0	0
RF00156	1	1	3	4	4	2	4	1	5	2
VPS13D	3868	3862	3065	3073	1183	1589	1401	1132	2050	2397
SNORA59A	5	4	2	3	4	3	0	3	3	7
AC243836.1	0	0	0	0	0	0	0	0	0	0
DHRS3	6359	5478	5958	5256	3300	2937	4361	4536	3584	4110
RNU6ATAC18P	2	5	1	0	8	1	8	1	1	4
MIR6730	1	0	1	1	7	3	2	6	1	0
AC254633.1	76	43	50	29	13	18	48	26	37	29
AADACL4	0	0	0	0	0	0	0	0	0	0
AC244670.1	0	0	0	0	0	0	0	0	0	0
AADACL3	0	0	0	0	0	0	0	0	0	0
C1orf158	0	0	0	0	0	0	0	0	0	1
PRAMEF12	0	0	1	0	0	1	0	0	0	0
PRAMEF1	0	0	0	0	0	0	0	0	0	0
LINC01784	0	0	0	0	0	0	0	0	0	0
PRAMEF11	0	0	0	0	0	0	0	0	0	0
PRAMEF30P	0	0	0	0	0	0	0	1	0	2
HNRNPCL1	0	2	0	0	1	0	0	0	0	0
PRAMEF2	0	0	0	0	0	0	0	0	0	0
PRAMEF4	0	0	0	0	0	0	0	0	0	0
PRAMEF10	0	0	0	0	0	0	0	0	0	0
PRAMEF7	0	0	1	0	0	0	0	0	0	0
RNU6-1072P	0	0	0	0	0	0	0	0	0	0
PRAMEF29P	0	0	0	0	0	0	0	0	0	0
PRAMEF6	0	0	0	0	0	0	0	0	0	0
PRAMEF28P	0	0	0	0	0	0	0	0	0	0
PRAMEF27	0	0	0	0	0	0	0	0	0	0
HNRNPCL3	0	0	0	0	0	0	0	0	0	0
PRAMEF25	0	0	0	0	0	0	0	0	0	0
PRAMEF34P	0	0	0	0	0	0	0	0	0	0
PRAMEF35P	0	0	0	0	0	0	0	0	0	0
HNRNPCL2	0	0	0	0	1	0	0	0	0	0
PRAMEF36P	0	0	0	0	0	0	0	0	0	0
AC245056.1	0	0	0	0	0	0	0	0	0	0
PRAMEF26	0	0	0	0	0	0	0	0	0	0
HNRNPCL4	0	0	0	0	0	0	0	0	0	0
PRAMEF9	0	0	0	0	0	0	0	0	0	0
PRAMEF13	0	0	0	0	0	0	0	0	0	0
PRAMEF18	0	0	0	0	0	0	0	0	0	0
PRAMEF31P	0	0	0	0	0	0	0	0	0	0
PRAMEF5	0	0	0	0	0	0	0	0	0	0
PRAMEF32P	0	0	0	0	0	0	0	0	0	0
RNU6-771P	0	0	0	0	0	0	0	0	0	0
PRAMEF8	0	0	0	0	0	0	0	0	0	0
PRAMEF33	0	0	0	0	0	0	0	0	0	0
PRAMEF15	0	0	0	0	0	0	0	0	0	0
AC243961.1	0	0	0	0	0	0	0	0	0	0
PRAMEF14	0	0	0	0	0	0	0	0	0	0
PRAMEF19	0	0	0	0	0	0	0	0	0	0
PRAMEF17	0	0	0	0	0	0	0	0	0	0
PRAMEF20	0	0	0	0	0	0	0	0	0	0
LRRC38	0	0	0	0	0	0	0	0	0	0
AL354712.1	0	0	0	0	0	0	0	0	0	0
BRWD1P1	0	0	0	0	0	0	0	1	0	0
PDPN	0	0	0	0	0	0	0	3	0	0
RNA5SP41	0	0	0	0	0	0	0	0	0	0
AL359771.1	0	0	0	0	0	0	0	0	0	0
RF00564	0	0	0	0	0	0	0	0	0	0
PRDM2	581	615	463	531	468	468	559	486	565	547
KAZN	143	116	50	36	26	48	26	40	29	38
RNU6-1265P	0	0	0	0	0	0	0	0	0	0
AL357873.1	0	0	0	0	1	0	0	0	0	0
KAZN-AS1	0	0	0	0	0	0	0	0	0	0
TBCAP2	0	0	0	0	0	0	0	0	0	0
TMEM51-AS1	70	57	46	41	50	67	190	142	90	107
TMEM51	689	626	488	474	361	340	637	558	445	494
C1orf195	0	0	0	2	2	3	4	3	1	2
AL035405.1	0	0	0	0	1	0	1	2	1	2
AL391094.1	0	0	0	0	0	0	0	0	0	0
FHAD1	14	10	13	12	9	8	22	16	29	18
AL031283.2	0	0	0	0	0	0	0	0	0	0
AL031283.3	0	0	0	2	0	0	0	2	2	0
AL031283.1	0	1	3	1	4	5	6	5	2	7
EFHD2	9967	9557	10809	9687	6147	5228	7007	6458	6792	5481
CTRC	0	0	0	0	0	0	2	2	0	0
CELA2A	2	0	0	0	0	0	0	1	0	0
CELA2B	1	0	3	2	2	1	1	0	3	4
CASP9	155	160	127	135	167	149	155	156	123	135
DNAJC16	435	428	439	400	257	260	355	284	301	289
SCARNA21B	0	0	0	0	0	0	0	0	0	0
AL121992.3	0	0	0	0	0	0	1	0	2	2
AGMAT	264	559	328	471	245	644	102	189	191	257
AL121992.1	0	0	0	0	0	0	0	0	0	0
CHCHD2P6	1	0	3	5	6	3	4	3	4	1
RNU7-179P	0	0	0	0	0	0	0	2	0	0
