,ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalues,rank,leading_edge,core_enrichment,,,
36,hsa01212,Fatty acid metabolism,48,0.520322038,1.727641674,0.006299213,0.043018646,0.0310643,1088,tags=33%, list=8%, signal=31%,ACSL5/HADHB/ACADSB/HSD17B8/ACADS/ACADM/SCP2/HACD3/HACD2/ACOX3/ELOVL6/EHHADH/HADHA/ECHS1/HADH/ACAT1,
53,hsa04740,Olfactory transduction,24,0.606771238,1.727231696,0.008547009,0.046775223,0.033776971,1964,tags=33%, list=15%, signal=28%,PDE2A/GUCY2D/ARRB2/PRKG2/RGS2/GNAL/CALM1/GRK2,
37,hsa00650,Butanoate metabolism,20,0.630747431,1.72559715,0.007029877,0.043018646,0.0310643,1088,tags=40%, list=8%, signal=37%,ABAT/ALDH5A1/ACADS/EHHADH/HADHA/ECHS1/HADH/ACAT1,
51,hsa00140,Steroid hormone biosynthesis,36,0.550941178,1.693541455,0.008237232,0.046721521,0.033738192,2029,tags=44%, list=16%, signal=38%,CYP3A4/DHRS11/UGT2B7/HSD17B8/SRD5A1/LRTOMT/HSD17B2/AKR1C1/CYP1A2/UGT1A6/COMT/CYP1A1/HSD3B1/UGT1A8/CYP3A7/UGT2A3,
52,hsa00860,Porphyrin metabolism,31,0.561669013,1.682564509,0.008291874,0.046721521,0.033738192,2353,tags=45%, list=18%, signal=37%,CP/HMOX2/UGT2B7/HMOX1/GUSB/FECH/UROS/UGT1A6/FXN/UGT1A8/BLVRA/UGT2A3/BLVRB/UGT1A1,
57,hsa00020,Citrate cycle (TCA cycle),29,0.557562104,1.65662729,0.009917355,0.050978686,0.036812344,2126,tags=31%, list=17%, signal=26%,PCK1/PCK2/IDH1/FH/SUCLG1/ACO1/IDH3A/SUCLG2/OGDHL,
79,hsa00410,beta-Alanine metabolism,24,0.578985707,1.648137555,0.025641026,0.095098994,0.068672167,2841,tags=62%, list=22%, signal=49%,ABAT/ACADS/ALDH6A1/ACOX3/EHHADH/HADHA/ECHS1/HIBCH/ACOX1/ALDH1B1/MLYCD/ALDH2/ALDH3A2/ALDH9A1/SMOX,
58,hsa04924,Renin secretion,50,0.492355258,1.643219752,0.011075949,0.055952641,0.040404098,1036,tags=26%, list=8%, signal=24%,AGT/ACE/CTSB/ITPR2/PLCB3/ADORA1/ORAI1/EDN2/AQP1/CACNA1D/PRKG2/PLCB4/PPP3CC,
63,hsa04216,Ferroptosis,36,0.533288809,1.639279729,0.013179572,0.061295468,0.044262221,1747,tags=33%, list=14%, signal=29%,CP/ACSL5/LPCAT3/SLC11A2/PRNP/FTL/SAT2/HMOX1/MAP1LC3A/GPX4/SLC40A1/NCOA4,
65,hsa00830,Retinol metabolism,44,0.506502379,1.638374014,0.014634146,0.065966229,0.047635035,2029,tags=43%, list=16%, signal=36%,CYP3A4/RDH5/ALDH1A2/UGT2B7/DHRS4/RETSAT/DGAT1/CYP1A2/UGT1A6/CYP1A1/ADH4/CYP2S1/UGT1A8/ADH6/ADH5/DHRS4L2/RPE65/CYP3A7/UGT2A3,
29,hsa04142,Lysosome,122,0.424127439,1.619207015,0.002828854,0.031280026,0.022587696,2087,tags=30%, list=16%, signal=25%,LIPA/CTSA/CTSB/CTSH/SLC11A2/NPC2/SMPD1/ACP2/CTSZ/ACP5/NAGA/CTNS/ATP6V0C/GNPTAB/GNS/FUCA2/GLA/LAPTM5/GALC/HEXB/GUSB/CTSV/CTSD/GLB1/FUCA1/SGSH/ARSB/ABCB9/LAMP1/LAPTM4B/ASAH1/ATP6V0A2/SORT1/CTSC/LAMP3/CTSO,
70,hsa00051,Fructose and mannose metabolism,28,0.55301946,1.616856338,0.018612521,0.075828157,0.054756456,1236,tags=29%, list=10%, signal=26%,TKFC/KHK/FBP1/HKDC1/ALDOB/SORD/AKR1B10/PFKFB2,
74,hsa00330,Arginine and proline metabolism,40,0.507605866,1.596885196,0.021276596,0.083120567,0.060022396,2841,tags=45%, list=22%, signal=35%,NOS2/AGMAT/GATM/MAOB/SAT2/ALDH4A1/DAO/OAT/NOS3/ARG2/ODC1/ALDH1B1/AOC1/ALDH2/PYCR3/ALDH3A2/ALDH9A1/SMOX,
76,hsa04061,Viral protein interaction with cytokine and cytokine receptor,46,0.475273247,1.569132558,0.022292994,0.085945357,0.062062212,1680,tags=30%, list=13%, signal=27%,CXCR3/IL37/CCL15/TNFRSF1B/IL20RA/TNFSF10/CSF1R/IL2RG/ACKR4/IL22RA1/CCR9/CCL5/TNFRSF1A/IL18R1,
78,hsa00760,Nicotinate and nicotinamide metabolism,29,0.525810916,1.562288228,0.024793388,0.093134139,0.067253321,2647,tags=45%, list=21%, signal=36%,ASPDH/BST1/NAPRT/SIRT3/ENPP3/NADK/NADK2/NMRK1/PNP/NT5E/NT5C2/SIRT4/AOX1,
68,hsa04970,Salivary secretion,52,0.463593079,1.555242241,0.017322835,0.074641038,0.053899222,731,tags=21%, list=6%, signal=20%,BST1/ATP1A1/CST3/ADCY9/ITPR2/PLCB3/LPO/LYZ/ATP1B3/PRKG2/PLCB4,
73,hsa01230,Biosynthesis of amino acids,60,0.442666916,1.536119565,0.020030817,0.080397661,0.058056152,1830,tags=23%, list=14%, signal=20%,NAGS/PKLR/CPS1/ALDOB/IDH1/ENO3/PRPS1/ACY1/SDSL/SHMT1/ARG2/ACO1/IDH3A/OTC,
62,hsa04020,Calcium signaling pathway,128,0.380736691,1.472530697,0.012517385,0.05915474,0.042716374,2611,tags=34%, list=20%, signal=27%,MST1/NOS2/PLCG1/MCOLN2/TNNC1/ADCY9/ITPR2/PLCB3/ORAI1/CACNA1D/P2RX6/SPHK1/PLCB4/PPP3CC/EGFR/PHKG2/PDGFC/BDKRB1/GNAL/NOS3/ATP2B1/FLT1/PLCD4/VDAC1/EGF/SLC25A4/CALM1/ITPKB/BDKRB2/HRH1/FGF19/PPP3CB/ADCY1/ITPKA/ITPR1/OXTR/MST1R/FGFR2/F2R/SLC25A5/P2RX1/CAMK1/VDAC3,
17,hsa00260,Glycine, serine and threonine metabolism,28,0.645268135,1.886562679,0.001692047,0.022467602,0.016224135,2002,tags=39%, list=16%, signal=33%,GLDC/CHDH/GATM/MAOB/PIPOX/DAO/GLYCTK/SDSL/SHMT1/GRHPR/SRR
6,hsa00280,Valine, leucine and isoleucine degradation,43,0.64328273,2.067120611,0.001626016,0.022467602,0.016224135,2677,tags=60%, list=21%, signal=48%,ABAT/HADHB/ACADSB/ACADS/ACADM/ALDH6A1/IVD/EHHADH/HADHA/ECHS1/HADH/ACAT1/HIBCH/AUH/HSD17B10/HIBADH/PCCA/HMGCS2/ALDH1B1/ACAA1/ALDH2/ACAD8/ALDH3A2/AOX1/ALDH9A1/PCCB
60,hsa05200,Pathways in cancer,375,-0.257451039,-1.280645663,0.011560694,0.056454721,0.040766657,2345,tags=27%, list=18%, signal=23%,PIK3R3/CAMK2G/ROCK1/CREBBP/ITGB1/TRAF2/RHOA/STK4/AKT1/SUFU/APAF1/VEGFB/XIAP/RAF1/LAMC2/GADD45B/ELK1/TGFBR1/ZBTB17/ADCY7/LPAR3/STAT6/PTEN/CASP8/WNT4/MAP2K1/MET/FZD6/GNAQ/PLD2/CCDC6/TRAF5/BMP4/LPAR5/GNAS/PPARG/BCL2L1/CDKN1B/CDK6/TGFA/PIK3CA/IKBKG/LAMB1/NFKB1/CDKN1A/BAX/CCND3/TPR/IKBKB/GSK3B/CDKN2B/ARNT/NOTCH3/GRB2/DVL2/GNB2/TCF7L2/PTGER1/TGFB1/EP300/RALBP1/VEGFA/LAMB3/EGLN3/RAC2/MECOM/GNG2/BRAF/BBC3/STAT3/LAMA3/BMP2/PIM2/DAPK1/SLC2A1/LAMC1/BID/EPOR/JUP/NFKBIA/PPARD/SMAD3/MDM2/IFNGR2/RELA/RASSF5/DDB2/STAT5A/FGF2/GNAI2/CBL/LAMA5/KRAS/NFKB2/PLCG2/STAT5B/GNB5/PLEKHG5/JAK3/WNT7B/NOTCH2,
55,hsa05165,Human papillomavirus infection,250,-0.27170393,-1.30324255,0.009009009,0.047993448,0.034656666,2437,tags=30%, list=19%, signal=25%,UBE3A/BAD/HES6/RBPJ/PIK3R3/CREBBP/ITGB1/AKT1/RAF1/LAMC2/ATP6V1H/DLG1/ATP6V1A/ATP6V1G1/MAML2/HES4/PTEN/CREB3L4/CASP8/WNT4/MAP2K1/FZD6/PRKCI/TYK2/GNAS/ITGB6/RBL2/CDKN1B/CDK6/PIK3CA/DLG3/IKBKG/LAMB1/PPP2R5B/NFKB1/HES2/TCIRG1/CDKN1A/BAX/SCRIB/TNXB/CCND3/THBS3/IKBKB/GSK3B/HLA-B/LLGL2/TICAM1/PPP2R2A/NFX1/NOTCH3/GRB2/DVL2/RBL1/TSC1/TCF7L2/EP300/ITGB4/VEGFA/TSC2/LAMB3/ITGB7/ATM/LAMA3/LAMC1/CREB3L1/UBR4/MDM2/RELA/LAMA5/KRAS/OASL/HLA-E/WNT7B/NOTCH2,
69,hsa04360,Axon guidance,137,-0.304274519,-1.359950334,0.017667845,0.075024325,0.054175999,2964,tags=38%, list=23%, signal=29%,RAC1/EPHB4/SEMA4F/GNAI1/PLXNA3/BUB1B-PAK6/BMP7/LIMK2/SEMA4D/EPHB2/PIK3R3/CAMK2G/ROCK1/ITGB1/RHOA/RAF1/EPHB1/SRGAP2/ABLIM1/WNT4/MET/RRAS/NTN4/SRC/PIK3CA/NCK1/LIMK1/EFNA1/EFNA4/RND1/GSK3B/SEMA3A/PPP3R1/CFL2/SSH2/RAC2/SRGAP1/NEO1/PLXNB2/NFATC4/SEMA3F/DPYSL2/SEMA4B/SEMA3B/GNAI2/ABLIM2/EFNA3/KRAS/UNC5B/PLCG2/EPHA2/SEMA4C,
49,hsa05168,Herpes simplex virus 1 infection,399,-0.278466833,-1.387760736,0.006493506,0.043018646,0.0310643,3419,tags=31%, list=27%, signal=23%,ZNF669/ZNF619/ZNF212/ZNF418/ZNF675/ZNF620/ZNF805/TAPBP/ZNF226/ZNF718/AKT2/ZNF316/IFNAR1/ZNF546/ZNF2/PPP1CB/IRF7/ZNF649/ZNF320/MYD88/ZNF230/ZNF584/ZNF799/ZNF813/ZNF248/JAK1/ZNF577/ZNF234/SRSF4/ZNF141/ZNF773/ZNF765/ZNF426/ZNF140/ZNF484/ZNF519/TAB2/ZNF561/ZNF133/ZNF589/BAD/ZNF557/PIK3R3/ZNF573/ZNF791/SRSF9/TRAF2/ZNF432/ZNF211/ZNF100/AKT1/APAF1/EIF2AK3/TAB1/ZNF605/ZFP1/ZNF84/ZFP28/ZNF26/IL1B/ZNF792/NXF1/CASP8/ZNF273/ZNF267/NECTIN2/ZNF567/IFIH1/ZNF431/TRAF5/TYK2/ZNF766/BCL2L1/ZNF550/ZNF324B/SRC/ZNF746/ZFP14/PIK3CA/IKBKG/ZNF81/ZNF461/ZNF189/NFKB1/RBAK/ZNF554/ZNF841/BAX/ZNF440/POU2F3/ZNF808/ZNF8/ZNF425/ZNF736/ZNF317/IKBKB/ZNF333/ZNF595/HLA-B/TICAM1/ZNF552/ZNF33A/ZNF565/TSC1/ZNF616/TSC2/ZNF205/ZNF7/POU2F2/ZNF430/ZNF337/ZNF473/ZNF585A/BID/ZNF160/ZFP90/NFKBIA/ZNF607/IFNGR2/TAP1/RELA/ZNF460/HLA-E,
72,hsa05170,Human immunodeficiency virus 1 infection,161,-0.305574871,-1.39168387,0.018450185,0.075828157,0.054756456,3329,tags=39%, list=26%, signal=29%,RBX1/TAPBP/AP1M2/AKT2/APOBEC3G/APOBEC3D/ELOB/GNG5/CUL4B/RAC1/MYD88/JUN/GNAI1/PRKCG/DCAF1/BUB1B-PAK6/LIMK2/TAB2/AP1G1/BAD/PIK3R3/TRAF2/AKT1/APOBEC3B/TAB1/DDB1/RAF1/CASP8/MAP2K1/GNAQ/TRAF5/BCL2L1/PIK3CA/IKBKG/AP1S3/ITPR3/NFKB1/LIMK1/BAX/TRIM5/IKBKB/HLA-B/MAP2K7/GNB2/PPP3R1/APOBEC3F/CFL2/RAC2/GNG2/ATM/FBXW11/BID/NFKBIA/NFATC4/TAP1/RELA/NFATC1/GNAI2/KRAS/PLCG2/GNB5/HLA-E,
67,hsa05202,Transcriptional misregulation in cancer,123,-0.314868001,-1.396603425,0.016949153,0.074120921,0.05352364,2825,tags=33%, list=22%, signal=26%,IGFBP3/MEF2C/LMO2/KDM6A/CDK9/LDB1/CXCL8/PLAU/CCNT1/RUNX2/MLLT1/PER2/PBX1/ETV4/GADD45B/TAF15/ZBTB17/MET/ETV6/TMPRSS2/PPARG/BCL2L1/TCF3/CDKN1B/NFKB1/BCL6/CDKN1A/BAX/MLF1/BAIAP3/PROM1/ITGB7/KMT2A/ATM/SUPT3H/ETV1/JUP/PLAT/MDM2/RELA/DDB2,
75,hsa05222,Small cell lung cancer,79,-0.352202198,-1.433541112,0.021212121,0.083120567,0.060022396,2345,tags=37%, list=18%, signal=30%,PIK3R3/ITGB1/TRAF2/AKT1/APAF1/XIAP/LAMC2/GADD45B/ZBTB17/PTEN/TRAF5/BCL2L1/CDKN1B/CDK6/PIK3CA/IKBKG/LAMB1/NFKB1/CDKN1A/BAX/IKBKB/CDKN2B/LAMB3/LAMA3/LAMC1/NFKBIA/RELA/DDB2/LAMA5,
77,hsa05145,Toxoplasmosis,83,-0.348682999,-1.445212239,0.024024024,0.091416091,0.066012698,2962,tags=39%, list=23%, signal=30%,MYD88/GNAI1/ITGA6/JAK1/TAB2/BAD/ITGB1/AKT1/TAB1/XIAP/LAMC2/CASP8/TYK2/BCL2L1/NFKBIB/IKBKG/LAMB1/NFKB1/LDLR/IKBKB/TGFB1/LAMB3/STAT3/LAMA3/LAMC1/NFKBIA/IFNGR2/RELA/ALOX5/GNAI2/LAMA5/HSPA2,
71,hsa04380,Osteoclast differentiation,90,-0.353504169,-1.486491347,0.01863354,0.075828157,0.054756456,2345,tags=41%, list=18%, signal=34%,RAC1/JUN/IL1R1/JAK1/TAB2/PIK3R3/TRAF2/NCF2/AKT1/TAB1/TGFBR1/SQSTM1/IL1B/MAP2K1/FOSL1/TYK2/PPARG/TNFRSF11A/PIK3CA/IKBKG/CYLD/NFKB1/RELB/IKBKB/MAP2K7/FHL2/GRB2/PPP3R1/TGFB1/FOSL2/NFKBIA/IFNGR2/RELA/JUNB/NFATC1/NFKB2/PLCG2,
66,hsa05221,Acute myeloid leukemia,52,-0.390623325,-1.487855291,0.016348774,0.072578648,0.052409945,2534,tags=42%, list=20%, signal=34%,ARAF/BAD/PIK3R3/AKT1/PER2/RAF1/MAP2K1/PIK3CA/IKBKG/NFKB1/IKBKB/GRB2/TCF7L2/BRAF/STAT3/PIM2/JUP/PPARD/RELA/STAT5A/KRAS/STAT5B,
33,hsa04010,MAPK signaling pathway,226,-0.317363041,-1.506226367,0.004219409,0.03746324,0.027052672,2964,tags=33%, list=23%, signal=26%,RAC1/MYD88/JUN/IL1R1/RPS6KA6/PRKCG/MKNK2/MEF2C/MAP4K2/PPP5C/ARAF/TAB2/CACNA2D2/NLK/INSR/TRAF2/STK4/AKT1/TAB1/VEGFB/RAF1/GADD45B/ELK1/TGFBR1/IL1B/MAP2K1/MET/RRAS/TGFA/DUSP16/MAP3K8/IKBKG/NFKB1/TAOK1/IL1RAP/RELB/MAP3K2/EFNA1/EFNA4/PPM1B/IKBKB/MAP3K6/DUSP7/MAP2K7/GRB2/CACNB1/PPP3R1/TGFB1/FLNB/MAPK8IP3/VEGFA/FLNC/RAC2/MECOM/MAP3K3/MAPK8IP2/HSPB1/BRAF/MAP2K5/NF1/DUSP4/RELA/DUSP10/DUSP5/FGF2/NFATC1/CACNB3/EFNA3/KRAS/NFKB2/HSPA2/NR4A1/EPHA2/FLNA,
48,hsa04120,Ubiquitin mediated proteolysis,137,-0.337293041,-1.507526115,0.007067138,0.043018646,0.0310643,4404,tags=45%, list=34%, signal=30%,KLHL9/CDC16/ANAPC10/UBE2R2/PIAS4/FBXW7/SOCS3/UBOX5/BIRC6/UBE2D3/KEAP1/CDC26/CBLC/CUL3/UBA7/HERC1/PIAS2/KLHL13/UBA2/UBE2Q1/RBX1/ELOB/MID1/NHLRC1/CUL4B/UBR5/UBA6/SYVN1/UBE2Z/WWP1/UBA1/UBE3A/UBE2H/HUWE1/UBE2F/DDB1/ANAPC2/XIAP/PIAS1/ANAPC11/UBC/FBXW8/UBE2I/TRIP12/CDC23/UBE4B/CUL7/UBE2B/UBE2J1/CBLB/MGRN1/HERC2/ITCH/UBE2M/FBXW11/SMURF1/MDM2/DDB2/CBL/UBE2Q2/UBE2L6/PIAS3,
59,hsa05163,Human cytomegalovirus infection,168,-0.329114652,-1.508737756,0.011278195,0.056008666,0.040444555,2345,tags=29%, list=18%, signal=24%,PIK3R3/ROCK1/TRAF2/RHOA/AKT1/RAF1/ELK1/IL1B/ADCY7/CREB3L4/CASP8/MAP2K1/GNAQ/TRAF5/GNAS/SRC/CDK6/PIK3CA/IKBKG/ITPR3/NFKB1/CDKN1A/BAX/IKBKB/GSK3B/HLA-B/GRB2/TSC1/GNB2/PPP3R1/PTGER1/VEGFA/TSC2/RAC2/GNG2/STAT3/AKAP13/BID/CREB3L1/NFKBIA/MDM2/NFATC4/TAP1/RELA/NFATC1/GNAI2/KRAS/GNB5/HLA-E,
47,hsa05206,MicroRNAs in cancer,140,-0.338877062,-1.520939256,0.007092199,0.043018646,0.0310643,2421,tags=29%, list=19%, signal=23%,PLAU/PIK3R3/ROCK1/CREBBP/ST14/RHOA/RAF1/SOX4/PTEN/MAP2K1/MET/UBE2I/CDKN1B/CDK6/BMF/PIK3CA/CCNG1/NFKB1/CD44/CDKN1A/MARCKS/TNXB/EFNA1/ABCC1/EFNA4/IKBKB/NOTCH3/GRB2/EP300/FSCN1/VEGFA/ATM/STAT3/HDAC5/MDM2/EFNA3/KRAS/PLCG2/SERPINB5/NOTCH2,
