,ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalues,rank,leading_edge,core_enrichment
mmu04310,mmu04310,Wnt signaling pathway,125,0.413389173,1.832189022,0.002272727,0.009398255,0.005638615,2435,"tags=30%, list=19%, signal=24%",Lgr5/Axin2/Tcf7/Ror2/Wnt5b/Tle2/Wnt7a/Prickle1/Vangl2/Myc/Fzd2/Nfatc2/Rnf43/Ruvbl1/Prkacb/Ccnd1/Wnt7b/Znrf3/Fosl1/Fzd6/Peg12/Porcn/Cacybp/Trp53/Fzd1/Prkcg/Tle6/Camk2a/Plcb4/Fzd10/Lgr6/Siah1b/Dvl2/Bambi/Rock2/Dvl1/Notum
mmu03015,mmu03015,mRNA surveillance pathway,85,0.431308361,1.822691258,0.002183406,0.009398255,0.005638615,3451,"tags=46%, list=27%, signal=34%",Pabpn1/Acin1/Fus/Upf3b/Pnn/Tardbp/Cpsf6/Alyref/Rnmt/Gle1/Smg5/Ncbp2/Nudt21/Ddx39b/Cstf2/Magohb/Nxt1/Nxf1/Dazap1/Ppp2r1b/Rnps1/Cpsf4/Cpsf7/Cpsf1/Pcf11/Gspt1/Cpsf3/Upf1/Pabpc4/Eif4a3/Cpsf2/Ddx19b/Ddx19a/Sympk/Cstf1/Ncbp1/Etf1/Magoh/Rbm8a
mmu03018,mmu03018,RNA degradation,70,0.448315494,1.820271669,0.004454343,0.016520538,0.009911729,3907,"tags=57%, list=31%, signal=40%",Exosc8/Dis3/Exosc7/Exosc2/Dcps/Eno1b/Lsm5/Mtrex/Lsm7/Tent4a/Hspd1/Ttc37/Pnpt1/Exosc1/Lsm2/Exosc10/Zcchc7/Lsm6/Xrn2/Lsm4/Pabpc4/Pfkm/Cnot7/Parn/Lsm1/Dcp1a/Pan2/Pan3/Cnot2/Cnot10/Edc4/Hspa9/Dcp1b/Exosc4/Btg3/Cnot3/Cnot6/Exosc5/Wdr61/Cnot9
mmu04914,mmu04914,Progesterone-mediated oocyte maturation,77,0.406640574,1.698293634,0.004246285,0.015950787,0.009569899,2610,"tags=36%, list=21%, signal=29%",Plk1/Kif22/Cdk2/Ccnb2/Ccnb1/Prkacb/Rps6ka6/Cdk1/Bub1/Ccna2/Gnai1/Cdc23/Mad2l1/Pde3b/Pkmyt1/Akt3/Cdc25c/Cdc25b/Aurka/Hsp90aa1/Anapc5/Hsp90ab1/Mapk12/Mad1l1/Igf1r/Adcy7/Rps6ka2/Adcy4
mmu03022,mmu03022,Basal transcription factors,39,0.465751442,1.666100305,0.010330579,0.033262192,0.01995612,4815,"tags=67%, list=38%, signal=41%",Taf4b/Gtf2i/Ercc2/Ccnh/Taf15/Gtf2h4/Cdk7/Gtf2h5/Taf2/Taf5/Gtf2e1/Gtf2f1/Gtf2e2/Gtf2f2/Gtf2h3/Gtf2h1/Taf11/Taf5l/Taf13/Tbpl1/Gtf2h2/Mnat1/Taf9/Gtf2a2/Taf1/Tbp
mmu05206,mmu05206,MicroRNAs in cancer,143,0.364618372,1.649757723,0.002237136,0.009398255,0.005638615,2127,"tags=28%, list=17%, signal=24%",Cyp1b1/Rdx/Thbs1/Irs1/Gls2/Plau/Itga5/Cd44/Ptgs2/Kif23/Plcg1/Myc/Dnmt1/Bcl2/Cdca5/Hmga2/Ccnd1/Igf2bp1/Atm/Timp3/Slc7a1/Hdac2/Notch4/Ikbkb/Cdc25c/Fscn1/Cdc25b/Trp53/Cdk6/Stmn1/Mdm4/E2f1/Ezh2/Ccne2/Dnmt3b/Prkcg/Dnmt3a/Ube2i/Abcb1b/Serpinb5
mmu00970,mmu00970,Aminoacyl-tRNA biosynthesis,42,0.451764705,1.644874951,0.012958963,0.038744656,0.023245401,2808,"tags=38%, list=22%, signal=30%",Vars/Farsa/Yars2/Iars/Sars2/Ears2/Eprs/Tars2/Lars/Hars/Dars/Tars/Vars2/Farsb/Mars2/Cars
mmu05205,mmu05205,Proteoglycans in cancer,164,0.342870434,1.58222132,0.00228833,0.009398255,0.005638615,2341,"tags=27%, list=19%, signal=22%",Fn1/Rdx/Gpc1/Thbs1/Msn/Smo/Plau/Itga5/Cd44/Flna/Wnt5b/Esr1/Wnt7a/Plcg1/Itga2/Myc/Fzd2/Arhgef1/Prkacb/Itpr1/Tgfb1/Ccnd1/Wnt7b/Timp3/Mras/Fzd6/Col1a1/Akt3/Rps6kb1/Trp53/Hspg2/Tiam1/Fzd1/Tnf/Prkcg/Hif1a/Camk2a/Elk1/Fzd10/Tfap4/Mapk12/Cav2/Rock2/Igf1r
mmu04392,mmu04392,Hippo signaling pathway - multiple species,26,0.441615438,1.441946735,0.032064128,0.080297347,0.048175523,3406,"tags=42%, list=27%, signal=31%",Tead4/Tead2/Frmd6/Ajuba/Wtip/Rassf6/Wwtr1/Dchs2/Csnk1e/Yap1/Rassf2
mmu05222,mmu05222,Small cell lung cancer,81,0.33661517,1.411595674,0.036956522,0.088756237,0.053250553,1779,"tags=27%, list=14%, signal=23%",Fn1/Ptgs2/Cks1b/Itga2/Myc/Cdk2/Col4a4/Bcl2/Ccnd1/Lamb1/Col4a2/Skp2/Col4a1/Ikbkb/Akt3/Trp53/Cdk6/Lama5/Col4a3/E2f1/Lamc2/Ccne2
mmu04114,mmu04114,Oocyte meiosis,100,0.316237848,1.357488601,0.040540541,0.096572182,0.05793984,2650,"tags=33%, list=21%, signal=26%",Plk1/Cdk2/Ccnb2/Ccnb1/Prkacb/Itpr1/Sgo1/Rps6ka6/Cdk1/Fbxo5/Bub1/Espl1/Cdc23/Mad2l1/Cdc20/Pkmyt1/Cdc25c/Aurka/Ccne2/Slk/Smc3/Camk2a/Anapc5/Ppp2r1b/Mapk12/Smc1a/Mad1l1/Igf1r/Ywhaq/Adcy7/Rps6ka2/Adcy4/Ccne1
mmu05203,mmu05203,Viral carcinogenesis,156,-0.298848139,-1.324452122,0.041144902,0.097221421,0.05832936,853,"tags=12%, list=7%, signal=11%",Mapk3/Atp6v0d1/Cdkn2a/Sp100/H2-Q4/H2-T22/H2-T23/Cdkn1a/Rb1/H2-K1/Cdkn2b/H2-Q7/H2-T3/H2-Q2/Irf9/H2-Q6/Scin/H2-Q1/Irf7
mmu04910,mmu04910,Insulin signaling pathway,117,-0.321369115,-1.364447568,0.029929577,0.076434783,0.045858124,2784,"tags=32%, list=22%, signal=26%",Prkaa1/Prkab1/Pik3r3/G6pc/Socs1/Gsk3b/Hk1/Prkar2b/Mtor/Pklr/Grb2/Pik3cd/Prkaca/Ppp1r3b/Lipe/Hk2/Cbl/Inpp5a/Prkag2/Map2k1/Ppp1cb/Insr/Socs3/Mknk2/Pck1/Ppp1r3d/Irs2/Calm1/Calm2/Prkcz/Calml4/Mapk3/Ptprf/Prkaa2/Ppargc1a/Calm3/Sorbs1/Hkdc1
mmu05417,mmu05417,Lipid and atherosclerosis,160,-0.31302996,-1.395431884,0.019366197,0.054010212,0.032404187,2519,"tags=29%, list=20%, signal=23%",Cyp2j9/Gsk3b/Sod2/Map2k6/Src/Hspa1b/Pik3cd/Olr1/Nfkbia/Tnfrsf1a/Apob/Vav3/Ldlr/Chuk/Casp6/Rac1/Camk2d/Cdc42/Pparg/Ncf2/Cyp1a1/Nfe2l2/Hspa1a/Mapk13/Calm1/Cycs/Casp9/Calm2/Ern1/Apoa1/Casp1/Ly96/Calml4/Mapk3/Rxra/Calm3/Cyba/Ddit3/Ticam1/Cyp2j6/Casp7/Tlr2/Fas/Apoa4/Pycard/Irf7
mmu04022,mmu04022,cGMP-PKG signaling pathway,99,-0.337849487,-1.402859654,0.024955437,0.065285205,0.039168778,1864,"tags=23%, list=15%, signal=20%",Gna13/Adora1/Map2k1/Ppp1cb/Insr/Slc8a3/Irs2/Slc25a5/Calm1/Calm2/Mylk/Vdac3/Calml4/Mapk3/Ppif/Atp2b1/Gna11/Calm3/Prkce/Slc8a1/Atp1b1/Atp1a1/Adra2a
mmu05145,mmu05145,Toxoplasmosis,84,-0.34964669,-1.409555723,0.032967033,0.081088561,0.048650223,2304,"tags=30%, list=18%, signal=24%",Il10rb/Map2k6/Hspa1b/Nfkbia/Gnai2/Tnfrsf1a/H2-DMa/Ldlr/Chuk/Birc3/Ifngr2/Hspa1a/Mapk13/Cycs/Casp9/Ly96/Mapk3/Ifngr1/Irgm1/Ppif/Gnao1/Stat1/Tlr2/Igtp/Irgm2
mmu01240,mmu01240,Biosynthesis of cofactors,120,-0.333075972,-1.421235356,0.019400353,0.054010212,0.032404187,2061,"tags=25%, list=16%, signal=21%",Ugp2/Ugt2b1/Aldh2/Gmppb/Mpi/Bco1/Gch1/Dhrs3/Tpk1/Aldh3a2/Ppcs/Nadsyn1/Ugt2b35/Alpl/Alas1/Rfk/Pank3/Cmpk1/Alpi/Ak4/Aldh1b1/Ggh/Ugt1a7c/Ugt1a1/Ugdh/Naprt/Ugt2b34/Ugt2b36/Cmpk2/Ugt2b5
mmu05323,mmu05323,Rheumatoid arthritis,53,-0.390971244,-1.43556644,0.033210332,0.081088561,0.048650223,3173,"tags=42%, list=25%, signal=31%",Ctsl/Ccl5/Atp6v1c1/Tnfrsf11a/Atp6v1f/Il15/Atp6v0c/H2-DMa/Atp6v1g1/Atp6v1d/Ccl20/Atp6ap1/Itgb2l/Atp6v1e1/Atp6v1a/Atp6v0e/Atp6v0b/Atp6v0d1/Atp6v0a2/Tlr2/Acp5/Atp6v0e2
mmu05170,mmu05170,Human immunodeficiency virus 1 infection,169,-0.324239513,-1.44749047,0.010507881,0.033465316,0.020077988,2719,"tags=30%, list=22%, signal=24%",Ptk2b/Ap1g1/Ap1s3/Pik3r3/Gnb5/Mtor/Ap1b1/Map2k6/Pik3cd/Gm8909/Trim5/Nfkbia/Gnai2/Gngt2/Tnfrsf1a/Gnb1/Bst2/Chuk/Gng5/Map2k1/Rac1/Gng12/H2-Q10/Mapk13/Calm1/Tradd/Cycs/Casp9/Calm2/Calml4/Mapk3/Tapbp/Gna11/Calm3/H2-Q4/H2-T22/H2-T23/Trim12c/Gnao1/Tap2/H2-K1/Tlr2/Fas/H2-Q7/Tap1/H2-T3/H2-Q2/B2m/H2-Q6/Trim30d/H2-Q1
mmu04936,mmu04936,Alcoholic liver disease,101,-0.3505921,-1.450746822,0.014388489,0.042158273,0.025293449,2516,"tags=32%, list=20%, signal=26%",Gsk3b/Aldh7a1/Map2k6/Mlycd/Nfkbia/Acadvl/Tnfrsf1a/Acox3/Aldh2/Foxo3/Prkag2/Chuk/Tcf7l2/Aldh3a2/Adipor1/Lpin3/Mapk13/Tradd/Acadm/Cpt1c/Scd1/Ly96/Cpt1a/Prkaa2/Ppargc1a/Il17rc/Ticam1/Acox1/Aldh1b1/Fas/Ppara/Adh1
mmu04721,mmu04721,Synaptic vesicle cycle,53,-0.398665962,-1.463819871,0.027675277,0.071759788,0.043053295,2422,"tags=42%, list=19%, signal=34%",Cltc/Atp6v1f/Atp6v0c/Slc1a1/Napa/Unc13c/Ap2s1/Ap2a2/Atp6v1g1/Atp6v1d/Stx3/Atp6v1e1/Atp6v1a/Atp6v0e/Clta/Cacna1b/Atp6v0b/Atp6v0d1/Slc6a4/Atp6v0a2/Slc17a8/Atp6v0e2
mmu05207,mmu05207,Chemical carcinogenesis - receptor activation,156,-0.333714168,-1.478973367,0.007155635,0.024379082,0.014626574,2567,"tags=30%, list=20%, signal=24%",Creb3/Gstm4/Mtor/Mgst3/Gstm5/Grb2/Src/Fgf9/Pik3cd/Gnai2/Gsta4/Prkaca/Ugt2b1/Cyp3a25/Map2k1/Rps6ka1/Chrnb2/Cyp3a11/Cyp2b9/Nr1i3/Paqr5/Cyp1a1/Gsto1/Ephx1/Gm3776/Cacna1b/Ugt2b35/Mapk3/Rxra/Mgst2/Gsta1/Gstt1/Mgst1/Gstt2/Cyp2b10/Rb1/Fgf2/Ugt1a7c/Vdr/Ephx2/Ugt1a1/Klf4/Ugt2b34/Ugt2b36/Ppara/Ugt2b5/Cyp3a13
mmu04024,mmu04024,cAMP signaling pathway,129,-0.343973341,-1.48235132,0.010638298,0.033516358,0.020108611,2177,"tags=27%, list=17%, signal=23%",Pik3cd/Nfkbia/Gnai2/Prkaca/Vav3/Acox3/Lipe/Slc9a1/Adora1/Map2k1/Ppp1cb/Rac1/Camk2d/Hcn2/Edn2/Calm1/Ptger3/Gcg/Calm2/Htr1d/Grin2a/Rapgef4/Calml4/Mapk3/Cnga3/Atp2b1/Calm3/Edn3/Acox1/Atp1b1/Atp1a1/Pld1/Grin3a/Ryr2/Ppara
mmu05231,mmu05231,Choline metabolism in cancer,84,-0.368559029,-1.485798391,0.016483516,0.047349709,0.028408124,1721,"tags=31%, list=14%, signal=27%",Dgka/Grb2/Pik3cd/Wasf2/Map2k1/Rac1/Plpp2/Slc22a21/Pcyt1a/Lypla1/Plpp3/Dgkq/Dgkh/Plpp1/Pla2g4f/Slc22a1/Slc22a4/Mapk3/Gpcpd1/Pip5k1b/Slc44a1/Slc22a5/Pdgfrb/Pla2g4c/Pld1/Slc44a4
mmu04137,mmu04137,Mitophagy - animal,65,-0.391669606,-1.489923639,0.020637899,0.055476186,0.033283719,2298,"tags=31%, list=18%, signal=25%",Src/Prkn/Atg5/Fis1/Tbc1d15/Nbr1/Ubb/Foxo3/Ubc/Map1lc3b/Cited2/Optn/Atg9a/Gabarapl2/Mfn2/Sqstm1/Gabarap/Map1lc3a/Tax1bp1/Pink1
mmu04961,mmu04961,Endocrine and other factor-regulated calcium reabsorption,34,-0.45419676,-1.497986082,0.03515625,0.085130424,0.051075196,2285,"tags=35%, list=18%, signal=29%",Ap2s1/Ap2a2/Prkaca/Rab11a/Clta/Slc8a3/Klk1/Atp2b1/Slc8a1/Vdr/Atp1b1/Atp1a1
mmu04971,mmu04971,Gastric acid secretion,46,-0.423365017,-1.501189677,0.032692308,0.081088561,0.048650223,2233,"tags=39%, list=18%, signal=32%",Slc9a4/Kcnq1/Ezr/Gnai2/Chrm3/Prkaca/Slc9a1/Camk2d/Actg1/Calm1/Calm2/Mylk/Calml4/Kcnj2/Calm3/Slc4a2/Atp1b1/Atp1a1
mmu04514,mmu04514,Cell adhesion molecules,73,-0.382954874,-1.501453363,0.020072993,0.054457286,0.032672415,2465,"tags=38%, list=20%, signal=31%",F11r/Cldn15/Cldn1/Gm8909/Cldn7/Ptprm/H2-DMa/Itgb2l/H2-Q10/Icosl/Sdc2/Nectin2/Cdh1/Cldn23/Cldn3/Nectin3/Ptprf/Ocln/H2-Q4/H2-T22/H2-T23/Cldn8/H2-K1/H2-Q7/H2-T3/H2-Q2/H2-Q6/H2-Q1
mmu04924,mmu04924,Renin secretion,48,-0.430294208,-1.536036065,0.013461538,0.039840715,0.023902998,1380,"tags=33%, list=11%, signal=30%",Gnai2/Prkaca/Adora1/Edn2/Calm1/Calm2/Calml4/Ptger4/Ctsb/Clca4a/Kcnj2/Ace/Calm3/Edn3/Clca1/Clca4b
mmu04931,mmu04931,Insulin resistance,91,-0.378240627,-1.540216022,0.007407407,0.02456817,0.01474002,2784,"tags=41%, list=22%, signal=32%",Prkaa1/Prkab1/Rps6ka3/Pik3r3/G6pc/Pten/Creb3/Gsk3b/Mtor/Trib3/Pik3cd/Slc27a2/Nfkbia/Tnfrsf1a/Ppp1r3b/Prkag2/Mlxipl/Rps6ka1/Ppp1cb/Insr/Socs3/Pck1/Ppp1r3d/Irs2/Prkcz/Slc2a1/Mlx/Ptprf/Nr1h3/Cpt1a/Prkaa2/Ppargc1a/Ppargc1b/Prkce/Slc27a4/Gfpt1/Ppara
mmu00860,mmu00860,Porphyrin metabolism,30,-0.494064133,-1.548526981,0.031936128,0.080297347,0.048175523,1105,"tags=23%, list=9%, signal=21%",Ugt2b35/Alas1/Ugt1a7c/Ugt1a1/Ugt2b34/Ugt2b36/Ugt2b5
mmu04080,mmu04080,Neuroactive ligand-receptor interaction,94,-0.379108338,-1.549450405,0.00733945,0.02456817,0.01474002,2370,"tags=33%, list=19%, signal=27%",Npffr1/Drd3/Nts/Chrm3/Gpr35/Thra/Sct/Adora1/Chrnb2/F2rl1/Lynx1/Edn2/Nr3c1/Ptger3/Gcg/Pyy/Htr1d/Grin2a/Adora2b/Insl5/P2rx4/Ptger4/Tac1/Ltb4r2/Chrna2/Tacr3/Edn3/Thrb/Prlr/Grin3a/Adra2a
mmu00480,mmu00480,Glutathione metabolism,59,-0.419482971,-1.568250306,0.011278195,0.035154375,0.021091362,2529,"tags=41%, list=20%, signal=33%",Gstm4/Rrm2b/Mgst3/Anpep/Gstm5/Idh1/Txndc12/Gsta4/Ggt6/Nat8f5/Oplah/Gsto1/Gpx4/Gm3776/Nat8/Mgst2/Gsta1/Gstt1/Mgst1/Gstt2/Prdx6/Chac1/Ggt1/Gstk1
mmu00565,mmu00565,Ether lipid metabolism,35,-0.476769816,-1.59154977,0.023483366,0.062551147,0.037528441,1820,"tags=40%, list=14%, signal=34%",Cept1/Peds1/Plpp2/Plpp3/Pld3/Ugt8a/Plpp1/Pla2g4f/Pafah2/Pla2g12b/Gdpd1/Pla2g4c/Pld1/Gal3st1
mmu05162,mmu05162,Measles,97,-0.388124807,-1.596486355,0.005464481,0.019766579,0.011859237,1399,"tags=19%, list=11%, signal=17%",Tnfaip3/Hspa1a/Tradd/Cycs/Casp9/Mavs/Oas3/Stat2/Ddx58/Stat1/Tlr2/Fas/Ifih1/Irf9/Oas2/Oas1a/Irf7/Oas1g
mmu05016,mmu05016,Huntington disease,258,-0.341054719,-1.598119412,0.001683502,0.009398255,0.005638615,2582,"tags=33%, list=21%, signal=27%",Tubb3/Creb3/Ndufa12/Mtor/Ndufa9/Ndufs8/Sod2/Ndufa2/Ndufa10/Ndufs6/Ap2s1/Ndufa8/Atp5b/Ap2a2/Dctn3/Ndufv1/Ndufa5/Ndufs5/Ndufv3/Uqcrc2/Atp5a1/Sdhd/Ndufb7/Atg2a/Atp5d/Ndufs2/Ndufa11/Ndufb4/Cyc1/COX3/Atp5g3/Polr2a/Atp5g1/Ndufb8/Atp5c1/Sod1/Uqcr11/Ndufb5/Atp5j/Pparg/Cox6c/Ndufb6/Cox5b/Tubal3/Ndufb9/Uqcr10/Sdha/Ndufv2/Ndufc2/Clta/Atp5e/Cox7b/Ndufa13/Slc25a5/Atp5h/Cox7a2l/Tubb2a/Atp5o/Cycs/Casp9/Cacna1b/Ern1/Cox7c/Ndufs7/Cox4i1/Vdac3/Ndufa6/Cox5a/Ndufc1/Uqcrq/Cox8a/Klc4/Ndufb10/Tgm2/Sdhc/Cox7a2/Uqcrfs1/Uqcrh/Ndufa1/Dnah2/Ppif/Cox6a1/Ppargc1a/Uqcrb/Sdhb/Cox7a1
mmu00051,mmu00051,Fructose and mannose metabolism,31,-0.502851127,-1.603342122,0.019723866,0.054010212,0.032404187,3270,"tags=52%, list=26%, signal=38%",Aldoc/Tkfc/Tpi1/Pfkl/Hk1/Gmppb/Hk2/Mpi/Aldoa/Aldob/Khk/Pfkp/Pfkfb4/Akr1b7/Sord/Hkdc1
mmu05163,mmu05163,Human cytomegalovirus infection,176,-0.357481896,-1.6060869,0.003502627,0.014058489,0.008434588,2719,"tags=34%, list=22%, signal=27%",Ptk2b/Pik3r3/Arhgef11/Jak1/Creb3/Gnb5/Bcar1/Gsk3b/Mtor/Grb2/Il10rb/Map2k6/Src/Pik3cd/Gm8909/Nfkbia/Gnai2/Gngt2/Tnfrsf1a/Prkaca/Gnb1/Cx3cl1/Gna13/Chuk/Gng5/Map2k1/Rac1/Gng12/H2-Q10/Mapk13/Calm1/Tradd/Ptger3/Cycs/Casp9/Calm2/Calml4/Mapk3/Ptger4/Cdkn2a/Tapbp/Gna11/Calm3/H2-Q4/H2-T22/H2-T23/Cdkn1a/Gnao1/Tap2/Rb1/H2-K1/Fas/H2-Q7/Tap1/H2-T3/H2-Q2/B2m/Ccr1/H2-Q6/H2-Q1
mmu01040,mmu01040,Biosynthesis of unsaturated fatty acids,28,-0.51657968,-1.612007465,0.023856859,0.06297351,0.037781844,3397,"tags=61%, list=27%, signal=44%",Acaa1a/Acot7/Scd4/Tecr/Acnat1/Scd2/Elovl5/Hsd17b4/Acox3/Acot2/Scd1/Elovl1/Scp2/Acox1/Acot4/Baat/Acaa1b
mmu00350,mmu00350,Tyrosine metabolism,20,-0.55906192,-1.613405263,0.03,0.076434783,0.045858124,694,"tags=35%, list=6%, signal=33%",Fahd1/Aldh3b3/Maoa/Aldh3b2/Aldh3b1/Tat/Adh1
