Geneid	A1	A3	A12	A13	A16	A17	A18	A19	A24	A25	A28	A29	A32	A33	A36	A37	A40	A41	A44	A45	A48	A49	A50	A51
Gm17100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm37079	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm16041	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm17101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Atp6v1h	878	859	1160	1059	1241	1679	1119	951	1163	1156	1322	1292	1204	1253	1234	1462	1224	1256	1155	955	1097	1261	1388	2243
Gm7182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm37567	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0
Gm38264	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Oprk1	0	0	0	0	6	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	23	5
Gm36965	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22463	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm37429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Npbwr1	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0
Gm19214	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rb1cc1	770	397	486	538	564	1499	601	732	1502	1627	1390	1357	1639	1823	1693	1528	1419	1378	1442	1443	1402	1670	1020	1694
4732440D04Rik	0	4	7	0	11	10	12	0	24	15	37	16	12	37	22	27	18	15	22	11	23	18	14	17
Alkal1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm2147	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0
Gm7417	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm19026	0	6	0	0	0	0	0	0	2	5	2	1	0	0	0	1	3	0	2	1	0	0	3	0
St18	2	0	0	11	0	0	0	0	10	15	6	1	14	1	2	3	3	4	2	7	4	7	10	62
Gm42492	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0
Gm7449	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm37108	0	0	5	8	4	5	4	0	0	2	0	2	2	1	0	1	0	0	2	0	0	0	0	3
Gm37275	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm37225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm37489	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm5694	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pcmtd1	378	243	334	439	426	836	388	420	817	896	974	880	994	932	1215	1181	868	803	753	662	679	875	735	1472
Gm26983	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	1	0	0	0	0	0
Gm38372	0	0	7	7	7	0	11	3	2	9	3	20	6	7	15	30	10	3	19	7	7	3	31	23
Gm9826	10	36	33	34	35	23	20	37	11	22	15	16	27	21	21	20	18	5	6	17	18	21	12	14
Nras-ps2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm23274	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm19002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm26901	0	3	4	8	17	0	0	0	2	7	5	5	0	2	11	17	13	4	1	1	0	0	6	6
Gm18984	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Gm30414	29	54	128	103	60	69	66	58	155	251	239	260	78	110	311	214	253	204	205	155	145	145	186	108
Gm37791	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm7470	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rps2-ps2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Gm38216	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sntg1	7	7	6	0	9	48	0	20	17	8	13	15	27	33	11	3	20	34	19	17	11	31	0	0
Gm38024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm16284	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
Gm38259	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm23358	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm37005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm15452	0	0	2	2	3	1	0	2	1	5	1	1	4	0	1	5	1	2	3	1	1	1	1	2
Gm36964	0	11	18	26	2	0	5	4	2	8	2	5	0	1	6	3	14	3	4	2	4	7	12	13
Gm24276	2	0	0	0	0	0	0	0	0	2	0	1	0	0	1	0	1	0	0	0	0	0	1	2
Gm6152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm7445	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Gm7493	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	2	1	0	0	0
Gm37629	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm38008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm37143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm6187	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0
Gm18299	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm7512	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm24765	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm18300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rrs1	221	347	680	506	588	312	261	180	317	404	385	371	201	236	578	620	340	298	329	236	195	257	679	536
Adhfe1	14	21	56	65	83	10	77	34	48	35	20	26	39	59	46	33	29	26	44	14	32	32	26	89
2610203C22Rik	12	0	6	0	0	0	0	4	0	6	0	10	5	1	0	0	1	0	3	0	1	0	0	1
Gm6161	1	0	0	6	0	0	0	0	0	0	1	2	0	1	0	1	2	2	0	0	0	0	1	5
Vxn	0	0	0	0	0	0	0	0	0	0	1	2	4	2	0	1	2	0	2	2	1	2	1	1
Gm29520	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mybl1	32	16	41	46	6	9	0	37	76	114	62	61	26	35	226	152	44	37	46	41	26	46	53	39
Vcpip1	520	356	548	487	358	1018	563	702	919	1191	1040	1028	880	1082	1219	980	997	894	905	928	798	1015	1047	1394
1700034P13Rik	19	10	18	0	17	3	16	10	5	7	7	12	10	25	12	12	10	15	20	19	21	15	19	48
Sgk3	55	39	57	75	70	61	48	50	71	86	55	79	57	85	130	149	96	75	74	39	46	91	133	231
Gm6195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3
Gm22607	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mcmdc2	0	0	0	0	0	0	0	0	8	4	2	0	0	0	1	1	0	1	0	0	0	0	2	6
Snhg6	274	140	267	241	317	142	253	79	143	120	160	153	110	137	240	310	117	146	140	71	85	80	318	896
Snord87	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0
Tcf24	361	264	557	797	447	991	385	409	398	510	582	453	464	607	740	630	522	503	415	368	401	445	160	558
E330040D14Rik	0	7	4	0	4	0	0	0	1	2	1	1	3	5	0	14	4	1	0	0	1	0	0	3
Ppp1r42	0	0	0	0	0	0	0	0	1	0	2	4	3	4	0	0	1	5	0	0	0	0	0	1
Gm15818	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm24674	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cops5	1304	1196	1681	1286	1461	1109	1556	968	1157	1073	1088	1120	874	1047	1189	1529	866	938	1194	796	785	861	1488	2488
Cspp1	233	139	230	211	221	228	273	196	304	321	361	413	283	313	386	490	274	222	261	229	238	223	348	644
1700047N06Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Arfgef1	6031	4094	5132	4636	4417	9708	6618	6494	7263	9383	7167	7260	7724	9331	11158	9697	7171	6549	6503	7318	6493	7267	7308	12771
Gm26348	0	0	0	0	9	0	0	0	0	1	3	4	0	0	4	2	1	2	1	0	0	1	0	1
Gm37569	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0
Cpa6	0	0	0	0	0	0	0	0	0	0	0	0	5	1	0	0	0	0	0	0	0	0	0	1
Gm38005	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm15604	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm25253	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm15603	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm37133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm5522	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm28659	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22963	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Prex2	0	1	14	6	14	0	27	19	12	31	22	15	1	11	3	1	9	15	6	2	7	12	1	3
Gm24173	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm28686	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm37410	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A830018L16Rik	0	3	0	0	0	0	0	0	1	3	0	0	4	2	3	1	0	0	1	1	0	2	0	0
Gm38178	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm29273	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm38069	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm7560	0	4	12	32	3	11	0	3	8	4	1	2	6	0	5	2	5	8	4	1	5	0	2	2
Gm22633	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mir6341	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm2383	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm6216	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm17644	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm29663	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sulf1	0	0	0	0	0	0	0	1	0	0	0	3	1	0	0	0	0	1	0	0	0	0	1	0
Slco5a1	1	6	0	11	3	0	3	8	15	4	11	11	3	0	0	3	8	9	2	1	0	7	12	15
Gm37162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm5250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm29283	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Prdm14	0	0	0	0	0	0	0	0	0	1	2	0	0	3	0	0	0	0	0	4	0	0	0	0
Ncoa2	2684	2584	1811	1836	2275	3095	2663	2432	1501	1844	1422	1562	1782	2268	1824	1829	1602	1539	1294	1521	1498	1655	1572	2304
Gm38376	0	1	0	0	0	0	0	0	0	1	0	0	1	1	0	0	1	0	0	5	0	0	0	0
Gm37409	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Gm27881	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm38223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm37702	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0
Gm23169	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm38120	0	0	0	0	0	0	0	0	1	0	0	0	3	1	3	0	0	0	2	0	0	0	0	1
Gm38380	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Gm29570	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	9	0	0	0	0
Gm7593	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	1	0	0	0	0	0	4	0	0
Tram1	1450	1149	1404	1136	1285	2524	1448	1420	1951	2008	1889	1857	1779	2198	2219	2095	1815	1754	1867	1572	1812	2009	3124	5516
Lactb2	806	587	671	921	789	1619	874	680	994	966	921	898	890	1016	1162	1126	894	790	1072	852	780	914	883	1886
Gm38319	2	0	0	0	8	0	0	0	0	0	0	1	2	3	7	4	4	1	0	0	2	0	6	10
Xkr9	44	39	26	0	18	73	30	18	87	44	73	38	52	67	18	37	53	59	54	75	73	80	140	214
Gm26273	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm5523	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	1	0	0	0	0	0	0	0
Gm36947	0	0	2	0	0	0	10	3	0	1	3	0	1	1	0	0	0	0	0	1	0	0	0	0
Gm25491	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm37400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eya1	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22616	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm37444	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm9947	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Msc	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm37412	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
Smt3h2-ps4	4	5	0	9	1	5	0	1	2	0	1	0	1	0	0	0	0	0	2	1	2	1	1	1
Rpl5-ps1	2	9	8	2	3	3	3	5	8	15	18	9	9	7	21	15	16	10	13	11	2	6	17	24
Trpa1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	12
Gm26345	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm10566	6	6	2	0	2	1	0	5	4	1	1	3	1	0	7	0	1	0	0	0	1	8	3	3
Kcnb2	15	6	0	0	0	0	0	21	2	10	4	2	3	2	0	3	5	1	0	0	1	7	18	91
Gm38116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm37138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm25227	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm25168	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm6060	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm28669	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Terf1	97	82	161	151	178	148	96	71	237	258	230	185	135	167	287	310	183	169	141	111	128	139	257	431
Gm37509	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
Sbspon	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	1	0	0	0	3	0
Gm23259	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm7634	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
4930444P10Rik	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Rpl7	16921	16622	33166	22141	15005	15170	19217	23237	16027	17198	15913	15062	11846	14587	20522	20690	12908	11482	18483	13200	13645	13474	19112	36967
Rdh10	2480	2574	2558	2210	2718	2885	2643	2217	1694	1866	1483	1742	1590	1813	1690	1764	1442	1343	1575	1390	1483	1549	2111	1909
Gm38249	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Gm28095	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Stau2	382	228	372	373	327	471	250	194	347	428	314	321	301	402	529	621	290	207	345	265	280	351	415	498
Gm7568	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Ube2w	109	45	75	146	88	265	119	142	502	347	415	487	337	403	372	405	450	388	376	319	363	417	409	738
Gm38342	0	0	0	0	0	0	0	4	5	3	0	2	0	1	2	0	0	0	0	0	0	0	1	0
Eloc	145	68	157	82	132	171	121	108	497	396	470	567	425	528	352	543	475	466	436	307	377	515	680	1086
D030040B21Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm7654	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	2	0	0
Tmem70	275	287	580	587	416	539	442	332	495	512	440	514	342	445	508	669	476	421	557	326	341	474	717	1010
Ly96	14	0	1	0	6	0	7	6	75	35	39	61	81	95	41	61	56	85	62	35	50	46	60	109
Gm29649	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Gm5828	1	0	3	5	5	10	1	4	1	9	3	2	4	4	5	5	5	1	1	5	2	10	1	3
Gm28376	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4921511E07Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Jph1	227	209	113	154	113	133	91	102	102	129	89	121	71	81	154	204	87	79	116	85	77	101	96	40
Gm28783	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gdap1	2	0	2	10	0	12	0	0	24	19	6	18	12	16	29	28	11	18	6	18	14	9	6	1
Gm28784	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	5	0	0	0	0	0	0	0	0
Gm28785	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm5251	13	4	12	0	38	67	42	20	63	60	43	69	39	53	23	23	68	70	42	63	48	62	5	1
Rbm6-ps1	0	2	3	3	0	30	0	1	4	7	11	3	0	2	1	7	5	1	4	6	4	9	2	1
Gm6075	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	2	0	0	0	2	0	0
Gm25166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pi15	0	0	0	0	0	0	0	1	2	2	3	7	2	0	0	1	1	6	0	2	1	3	0	0
Gm28154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Gm16070	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Crispld1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Gm28153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm7690	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	1	0	0	0	0	0
Gm18775	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm17969	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Gm28756	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0
Gm28755	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm45784	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Crisp4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Defb44-ps	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Defb18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Defb41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm17837	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm5252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm24075	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm28343	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm28344	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm15825	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tfap2d	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm10075	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	3	3	0	1	2
Tfap2b	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
