Geneid	Ctrl_1	Ctrl_2	Satb2_KO1	Satb2_KO2	Mta2_KO1	Mta2_KO2	Chd4_KO1	Chd4_KO2	Gatad2_KO1	Gatad2_KO2	Smarcd2_KO1	Smarcd2_KO2	Smarca4_KO1	Smarca4_KO2	Smarca5_KO1	Smarca5_KO2	Ctbp2_KO1	Ctbp2_KO2
Tram1	1812	2009	1450	1149	1404	1136	1285	2524	1448	1420	2219	2095	1779	2198	1889	1857	1815	1754
Lactb2	780	914	806	587	671	921	789	1619	874	680	1162	1126	890	1016	921	898	894	790
Gm38319	2	0	2	0	0	0	8	0	0	0	7	4	2	3	0	1	4	1
Xkr9	73	80	44	39	26	0	18	73	30	18	18	37	52	67	73	38	53	59
Gm26273	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm5523	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0
Gm36947	0	0	0	0	2	0	0	0	10	3	0	0	1	1	3	0	0	0
Gm25491	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm37400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eya1	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22616	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm37444	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm9947	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Msc	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm37412	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
Smt3h2-ps4	2	1	4	5	0	9	1	5	0	1	0	0	1	0	1	0	0	0
Rpl5-ps1	2	6	2	9	8	2	3	3	3	5	21	15	9	7	18	9	16	10
Trpa1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm26345	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm10566	1	8	6	6	2	0	2	1	0	5	7	0	1	0	1	3	1	0
Kcnb2	1	7	15	6	0	0	0	0	0	21	0	3	3	2	4	2	5	1
Gm38116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm37138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm25227	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm25168	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm6060	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm28669	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Terf1	128	139	97	82	161	151	178	148	96	71	287	310	135	167	230	185	183	169
Gm37509	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sbspon	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0
Gm23259	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm7634	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
4930444P10Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Rpl7	13645	13474	16921	16622	33166	22141	15005	15170	19217	23237	20522	20690	11846	14587	15913	15062	12908	11482
Rdh10	1483	1549	2480	2574	2558	2210	2718	2885	2643	2217	1690	1764	1590	1813	1483	1742	1442	1343
Gm38249	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Gm28095	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Stau2	280	351	382	228	372	373	327	471	250	194	529	621	301	402	314	321	290	207
Gm7568	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ube2w	363	417	109	45	75	146	88	265	119	142	372	405	337	403	415	487	450	388
Gm38342	0	0	0	0	0	0	0	0	0	4	2	0	0	1	0	2	0	0
Eloc	377	515	145	68	157	82	132	171	121	108	352	543	425	528	470	567	475	466
D030040B21Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm7654	2	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Tmem70	341	474	275	287	580	587	416	539	442	332	508	669	342	445	440	514	476	421
Ly96	50	46	14	0	1	0	6	0	7	6	41	61	81	95	39	61	56	85
Gm29649	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Gm5828	2	10	1	0	3	5	5	10	1	4	5	5	4	4	3	2	5	1
Gm28376	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4921511E07Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Jph1	77	101	227	209	113	154	113	133	91	102	154	204	71	81	89	121	87	79
Gm28783	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gdap1	14	9	2	0	2	10	0	12	0	0	29	28	12	16	6	18	11	18
Gm28784	0	0	0	0	0	0	0	0	0	0	0	5	0	4	0	0	0	0
Gm28785	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm5251	48	62	13	4	12	0	38	67	42	20	23	23	39	53	43	69	68	70
Rbm6-ps1	4	9	0	2	3	3	0	30	0	1	1	7	0	2	11	3	5	1
Gm6075	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2
Gm25166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pi15	1	3	0	0	0	0	0	0	0	1	0	1	2	0	3	7	1	6
Gm28154	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Gm16070	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Crispld1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Gm28153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm7690	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
Gm18775	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm17969	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Gm28756	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
Gm28755	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm45784	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Crisp4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Defb44-ps	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Defb18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Defb41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm17837	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm5252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm24075	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm28343	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm28344	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm15825	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tfap2d	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm10075	3	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	2
Tfap2b	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Gm28340	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm28341	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm4849	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	1
Gm24633	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm38382	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pkhd1	149	200	157	150	239	145	178	260	284	214	163	120	124	210	191	210	258	199
Gm37315	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4930486I03Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Gm15795	2	0	0	0	0	0	0	0	0	0	4	0	0	0	1	0	0	0
Gm24162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm28653	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mir206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mir133b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Il17a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Il17f	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0
Mcm3	84	82	112	101	597	536	197	202	43	76	828	770	49	101	223	277	243	165
Gm20587	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm28065	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm24723	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6720483E21Rik	2	0	0	0	5	0	0	0	0	0	0	5	2	1	2	0	0	0
Paqr8	1578	1789	2680	2582	1962	2242	2499	3409	2500	2242	1654	1412	1462	2000	1748	1922	1518	1457
Gm24171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Gm28064	0	0	0	0	0	0	0	0	0	0	0	0	4	1	1	5	0	1
Efhc1	44	38	54	42	42	6	36	32	59	39	22	16	56	60	28	28	25	23
Tram2	86	110	32	20	60	65	102	170	125	86	132	151	112	110	81	71	151	99
Gm28287	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm2693	0	0	0	0	0	0	0	0	0	0	0	2	0	1	1	4	0	0
Tmem14a	146	165	171	119	173	174	158	185	156	83	86	174	141	150	135	182	146	142
Gm38224	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Gsta3	99	191	459	435	1046	741	189	168	193	230	85	131	55	111	408	398	220	227
Gm28836	0	1	0	0	6	0	0	0	0	0	0	1	0	0	0	0	5	8
Gm7094	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm4956	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm21909	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Khdc1a	12	33	16	24	23	33	31	48	9	2	0	8	8	22	158	76	68	62
Gm16329	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm16327	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Khdc1c	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm2709	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm16533	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Khdc1b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm16328	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kcnq5	8	3	8	1	2	20	0	3	0	0	0	3	2	1	6	4	4	0
Gm36949	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm7658	10	10	0	3	6	1	2	3	1	4	9	6	8	9	17	6	4	5
Gm38243	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm26580	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm5696	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm28239	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rims1	7	3	22	5	0	0	0	0	0	0	1	2	5	2	1	2	6	1
Gm26866	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm7761	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm29506	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4933415F23Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm24176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm6420	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Mir30a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm27028	0	0	0	0	0	0	0	0	0	0	0	0	3	1	4	3	3	0
Mir30c-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm29107	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0
Gm20954	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ogfrl1	86	109	79	82	50	23	94	90	73	67	157	86	94	126	97	63	79	93
Gm7784	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm28822	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B3gat2	8	6	0	0	6	0	0	9	0	0	20	9	13	5	12	8	14	7
Smap1	1089	1122	1331	1312	1049	1229	1663	1496	1578	1170	902	828	922	1200	863	918	920	782
Sdhaf4	156	189	168	113	193	164	307	151	273	196	94	181	209	215	190	222	191	212
