Geneid	Ctrl_1	Ctrl_2	Satb2_KO1	Satb2_KO2	Mta2_KO1	Mta2_KO2	Chd4_KO1	Chd4_KO2	Gatad2_KO1	Gatad2_KO2	Smarcd2_KO1	Smarcd2_KO2	Smarca4_KO1	Smarca4_KO2	Smarca5_KO1	Smarca5_KO2	Rbbp4_KO1	Rbbp4_KO2	Ctbp2_KO1	Ctbp2_KO2	Ncor1_KO1	Ncor1_KO2
Gm6123	4	5	0	6	1	0	1	0	3	4	2	6	0	2	7	2	3	5	11	3	5	2
Mrpl15	453	435	441	408	995	499	831	438	560	519	656	790	354	496	688	534	619	581	533	487	503	332
Gm37144	5	1	0	0	11	0	6	0	0	0	1	2	1	0	1	4	4	6	4	0	2	4
Lypla1	2842	3969	1731	631	777	1446	2389	3450	2391	1003	3042	3248	3011	3680	3507	3414	3318	3069	2971	3287	3031	2338
Gm37988	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Tcea1	876	995	419	380	700	742	843	705	556	425	1521	1450	744	1065	1053	1134	1069	1226	925	916	1057	847
Gm6104	0	1	0	5	1	0	0	1	0	0	2	3	1	0	0	0	1	1	0	1	4	1
Gm37277	1	0	0	0	0	0	0	0	0	2	0	2	4	1	0	2	0	1	0	1	0	0
Rgs20	13	1	0	3	3	0	1	0	5	6	9	4	12	6	0	8	6	1	0	5	3	0
Gm17100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm37079	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm16041	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm17101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Atp6v1h	1097	1261	878	859	1160	1059	1241	1679	1119	951	1234	1462	1204	1253	1322	1292	1163	1156	1224	1256	1155	955
Gm7182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm37567	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm38264	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0
Oprk1	0	1	0	0	0	0	6	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
Gm36965	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22463	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm37429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Npbwr1	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0
Gm19214	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rb1cc1	1402	1670	770	397	486	538	564	1499	601	732	1693	1528	1639	1823	1390	1357	1502	1627	1419	1378	1442	1443
4732440D04Rik	23	18	0	4	7	0	11	10	12	0	22	27	12	37	37	16	24	15	18	15	22	11
Alkal1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm2147	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	2	0	0	0	0	0
Gm7417	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm19026	0	0	0	6	0	0	0	0	0	0	0	1	0	0	2	1	2	5	3	0	2	1
St18	4	7	2	0	0	11	0	0	0	0	2	3	14	1	6	1	10	15	3	4	2	7
Gm42492	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm7449	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm37108	0	0	0	0	5	8	4	5	4	0	0	1	2	1	0	2	0	2	0	0	2	0
Gm37275	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm37225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm37489	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm5694	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pcmtd1	679	875	378	243	334	439	426	836	388	420	1215	1181	994	932	974	880	817	896	868	803	753	662
Gm26983	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	1	0
Gm38372	7	3	0	0	7	7	7	0	11	3	15	30	6	7	3	20	2	9	10	3	19	7
Gm9826	18	21	10	36	33	34	35	23	20	37	21	20	27	21	15	16	11	22	18	5	6	17
Nras-ps2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm23274	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm19002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm26901	0	0	0	3	4	8	17	0	0	0	11	17	0	2	5	5	2	7	13	4	1	1
Gm18984	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Gm30414	145	145	29	54	128	103	60	69	66	58	311	214	78	110	239	260	155	251	253	204	205	155
Gm37791	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm7470	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rps2-ps2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm38216	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sntg1	11	31	7	7	6	0	9	48	0	20	11	3	27	33	13	15	17	8	20	34	19	17
Gm38024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm16284	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Gm38259	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm23358	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm37005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm15452	1	1	0	0	2	2	3	1	0	2	1	5	4	0	1	1	1	5	1	2	3	1
Gm36964	4	7	0	11	18	26	2	0	5	4	6	3	0	1	2	5	2	8	14	3	4	2
Gm24276	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	1	0	2	1	0	0	0
Gm6152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm7445	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0
Gm7493	1	0	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	2
Gm37629	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm38008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm37143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm6187	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0
Gm18299	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm7512	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm24765	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm18300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rrs1	195	257	221	347	680	506	588	312	261	180	578	620	201	236	385	371	317	404	340	298	329	236
Adhfe1	32	32	14	21	56	65	83	10	77	34	46	33	39	59	20	26	48	35	29	26	44	14
2610203C22Rik	1	0	12	0	6	0	0	0	0	4	0	0	5	1	0	10	0	6	1	0	3	0
Gm6161	0	0	1	0	0	6	0	0	0	0	0	1	0	1	1	2	0	0	2	2	0	0
Vxn	1	2	0	0	0	0	0	0	0	0	0	1	4	2	1	2	0	0	2	0	2	2
Gm29520	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mybl1	26	46	32	16	41	46	6	9	0	37	226	152	26	35	62	61	76	114	44	37	46	41
Vcpip1	798	1015	520	356	548	487	358	1018	563	702	1219	980	880	1082	1040	1028	919	1191	997	894	905	928
1700034P13Rik	21	15	19	10	18	0	17	3	16	10	12	12	10	25	7	12	5	7	10	15	20	19
Sgk3	46	91	55	39	57	75	70	61	48	50	130	149	57	85	55	79	71	86	96	75	74	39
Gm6195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22607	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mcmdc2	0	0	0	0	0	0	0	0	0	0	1	1	0	0	2	0	8	4	0	1	0	0
Snhg6	85	80	274	140	267	241	317	142	253	79	240	310	110	137	160	153	143	120	117	146	140	71
Snord87	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	1
Tcf24	401	445	361	264	557	797	447	991	385	409	740	630	464	607	582	453	398	510	522	503	415	368
E330040D14Rik	1	0	0	7	4	0	4	0	0	0	0	14	3	5	1	1	1	2	4	1	0	0
Ppp1r42	0	0	0	0	0	0	0	0	0	0	0	0	3	4	2	4	1	0	1	5	0	0
Gm15818	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm24674	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cops5	785	861	1304	1196	1681	1286	1461	1109	1556	968	1189	1529	874	1047	1088	1120	1157	1073	866	938	1194	796
Cspp1	238	223	233	139	230	211	221	228	273	196	386	490	283	313	361	413	304	321	274	222	261	229
1700047N06Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Arfgef1	6493	7267	6031	4094	5132	4636	4417	9708	6618	6494	11158	9697	7724	9331	7167	7260	7263	9383	7171	6549	6503	7318
Gm26348	0	1	0	0	0	0	9	0	0	0	4	2	0	0	3	4	0	1	1	2	1	0
Gm37569	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0
Cpa6	0	0	0	0	0	0	0	0	0	0	0	0	5	1	0	0	0	0	0	0	0	0
Gm38005	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm15604	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm25253	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm15603	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm37133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm5522	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm28659	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22963	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Prex2	7	12	0	1	14	6	14	0	27	19	3	1	1	11	22	15	12	31	9	15	6	2
Gm24173	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm28686	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm37410	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A830018L16Rik	0	2	0	3	0	0	0	0	0	0	3	1	4	2	0	0	1	3	0	0	1	1
Gm38178	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm29273	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm38069	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm7560	5	0	0	4	12	32	3	11	0	3	5	2	6	0	1	2	8	4	5	8	4	1
Gm22633	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mir6341	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm2383	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm6216	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm17644	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm29663	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sulf1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	3	0	0	0	1	0	0
Slco5a1	0	7	1	6	0	11	3	0	3	8	0	3	3	0	11	11	15	4	8	9	2	1
Gm37162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm5250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm29283	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Prdm14	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0	0	1	0	0	0	4
Ncoa2	1498	1655	2684	2584	1811	1836	2275	3095	2663	2432	1824	1829	1782	2268	1422	1562	1501	1844	1602	1539	1294	1521
Gm38376	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	1	1	0	0	5
Gm37409	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm27881	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm38223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm37702	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1
Gm23169	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm38120	0	0	0	0	0	0	0	0	0	0	3	0	3	1	0	0	1	0	0	0	2	0
Gm38380	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0
Gm29570	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	9
Gm7593	0	4	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	1	0	0	0	0
Tram1	1812	2009	1450	1149	1404	1136	1285	2524	1448	1420	2219	2095	1779	2198	1889	1857	1951	2008	1815	1754	1867	1572
Lactb2	780	914	806	587	671	921	789	1619	874	680	1162	1126	890	1016	921	898	994	966	894	790	1072	852
Gm38319	2	0	2	0	0	0	8	0	0	0	7	4	2	3	0	1	0	0	4	1	0	0
Xkr9	73	80	44	39	26	0	18	73	30	18	18	37	52	67	73	38	87	44	53	59	54	75
Gm26273	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm5523	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	1	0	0	0
Gm36947	0	0	0	0	2	0	0	0	10	3	0	0	1	1	3	0	0	1	0	0	0	1
Gm25491	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm37400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eya1	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22616	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm37444	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm9947	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Msc	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm37412	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
Smt3h2-ps4	2	1	4	5	0	9	1	5	0	1	0	0	1	0	1	0	2	0	0	0	2	1
Rpl5-ps1	2	6	2	9	8	2	3	3	3	5	21	15	9	7	18	9	8	15	16	10	13	11
Trpa1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm26345	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm10566	1	8	6	6	2	0	2	1	0	5	7	0	1	0	1	3	4	1	1	0	0	0
Kcnb2	1	7	15	6	0	0	0	0	0	21	0	3	3	2	4	2	2	10	5	1	0	0
Gm38116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm37138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm25227	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm25168	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm6060	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm28669	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Terf1	128	139	97	82	161	151	178	148	96	71	287	310	135	167	230	185	237	258	183	169	141	111
Gm37509	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Sbspon	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	1	0
Gm23259	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm7634	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
4930444P10Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Rpl7	13645	13474	16921	16622	33166	22141	15005	15170	19217	23237	20522	20690	11846	14587	15913	15062	16027	17198	12908	11482	18483	13200
Rdh10	1483	1549	2480	2574	2558	2210	2718	2885	2643	2217	1690	1764	1590	1813	1483	1742	1694	1866	1442	1343	1575	1390
Gm38249	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Gm28095	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Stau2	280	351	382	228	372	373	327	471	250	194	529	621	301	402	314	321	347	428	290	207	345	265
Gm7568	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ube2w	363	417	109	45	75	146	88	265	119	142	372	405	337	403	415	487	502	347	450	388	376	319
Gm38342	0	0	0	0	0	0	0	0	0	4	2	0	0	1	0	2	5	3	0	0	0	0
Eloc	377	515	145	68	157	82	132	171	121	108	352	543	425	528	470	567	497	396	475	466	436	307
D030040B21Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm7654	2	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Tmem70	341	474	275	287	580	587	416	539	442	332	508	669	342	445	440	514	495	512	476	421	557	326
Ly96	50	46	14	0	1	0	6	0	7	6	41	61	81	95	39	61	75	35	56	85	62	35
Gm29649	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Gm5828	2	10	1	0	3	5	5	10	1	4	5	5	4	4	3	2	1	9	5	1	1	5
Gm28376	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4921511E07Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Jph1	77	101	227	209	113	154	113	133	91	102	154	204	71	81	89	121	102	129	87	79	116	85
Gm28783	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gdap1	14	9	2	0	2	10	0	12	0	0	29	28	12	16	6	18	24	19	11	18	6	18
Gm28784	0	0	0	0	0	0	0	0	0	0	0	5	0	4	0	0	0	0	0	0	0	0
Gm28785	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm5251	48	62	13	4	12	0	38	67	42	20	23	23	39	53	43	69	63	60	68	70	42	63
Rbm6-ps1	4	9	0	2	3	3	0	30	0	1	1	7	0	2	11	3	4	7	5	1	4	6
Gm6075	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	2	0	0
Gm25166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pi15	1	3	0	0	0	0	0	0	0	1	0	1	2	0	3	7	2	2	1	6	0	2
Gm28154	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Gm16070	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Crispld1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Gm28153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm7690	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	1	0
Gm18775	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm17969	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Gm28756	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1
Gm28755	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm45784	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Crisp4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Defb44-ps	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Defb18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Defb41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm17837	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Gm5252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm24075	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm28343	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm28344	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm15825	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tfap2d	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm10075	3	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	3
Tfap2b	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Gm28340	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm28341	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm4849	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	2	0	1	0	0
Gm24633	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm38382	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pkhd1	149	200	157	150	239	145	178	260	284	214	163	120	124	210	191	210	140	264	258	199	142	159
Gm37315	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0
4930486I03Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Gm15795	2	0	0	0	0	0	0	0	0	0	4	0	0	0	1	0	1	0	0	0	0	0
Gm24162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm28653	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mir206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mir133b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Il17a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Il17f	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	5	0
